title,description,n_reviews,stars_avg,price_range,facilities,street,opening_hours,phone_number,featured_reviews,extra_content
Restaurante Abando,Restaurante de larga trayectoria con pinchos comida vasca moderna y cócteles en un ambiente acogedor.,3000,"4,3",€€,Tiene terraza· Tiene Wi-Fi· Sillas altas disponibles,"Colón de Larreátegui K., 31, Abando, 48009 Bilbo, Bizkaia","{'viernes': ['7:00–1:30'], 'sábado': ['7:00–1:30'], 'domingo': ['7:00–0:30'], 'lunes': ['7:00–0:30'], 'martes': ['7:00–0:30'], 'miércoles': ['7:00–0:30'], 'jueves': ['7:00–0:30']}",944 24 57 79,"['Agradable lugar para comer tanto a la carta como de pinchos. Productos de calidad y muy bien elaborados. Por encima de todo lo que destaca es la amabilidad, rapidez y profesional…Más', 'Restaurante céntrico, original, acogedor. Personal muy profesional y amable, sobre todo Carlos y Camilo que desbordan amabilidad y simpatía. Con su saber hacer ……Más', 'Servicio bueno. El pincho que comí insipido y precio elevado.']","['Abando Bar Restaurante. Colón de Larreátegui 31 48009 Bilbao Bizkaia +34 944 24 57 79. Horarios. Bar. Apertura 7:00 h. Restaurante. De 13:30 h.-16:00 h. y', 'El restaurante Abando está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 4; Servicio: 4; Calidad/precio: 3.5; Atmósfera: 4...', 'De Bilbao de toda la vida. - Carta | Menús Especiales | Menús Diarios Barra de Pintxos todos los días del año - ☎️ +34 94 424 57 79.']"
"Bar-Restaurante ""La Roca""",,11000,"4,2",20-30€,Ideal para ver deportes· Sillas altas disponibles· Se admiten perros,"Archivo Histórico Provincial, Ercilla Kalea, 1, Abando, 48009 Bilbao, Biscay","{'sábado': ['12:00–24:00'], 'domingo': ['Cerrado'], 'lunes': ['7:30–22:00'], 'martes': ['7:30–22:00'], 'miércoles': ['7:30–22:00'], 'jueves': ['7:30–22:00'], 'viernes': ['7:30–24:00']}",944 25 50 09,"['No suelo poner reseñas, pero esta vez, lo merece ¡Y mucho! Viajamos con perro y fué uno más des del primer momento. Nos dejaron entrar con él en el interior y…Más', 'Un lugar magnífico de principio a fin, buscábamos un sitio para comer y poder estar con nuestro perro, no sólo nos han permitido comer allí, sino que además nos…Más', 'Un restaurante maravilloso. Lo encontramos por casualidad y a pesar de ser fechas navideñas, nos hicieron un hueco y nos atendieron con mucho gusto. La comida…Más']","['... café baristas cerveza metodología de tiraje vino su000lería ... © Restaurante La Roca Bilbao • Ercilla Kalea 1 48009 Bilbo Bizkaia • Tel...', '169 opiniones#175 de 987 restaurantes en Bilbao€€ - €€€BarMediterráneaEuropea ... Atmósfera: 4. LA ROCA Bilbao - Abando - Menú Precios y Restaurante Opiniones -...', 'La Roca Bilbao · Menu · El Café · Nuestros Vinos · Nuestros Pintxos · La Cerveza. Menu. El Menu. © Restaurante La Roca Bilbao • Ercilla Kalea 1 48009 Bilbo...']"
La Gavilla Bilbao,Restaurante funcional y acogedor que ofrece platos de cocina vasca con productos locales brunch vino y un bar.,11000,"4,5",30-40€,,"Colón de Larreátegui K., N.32, Abando, 48009 Bilbo, Bizkaia","{'sábado': ['12:00–24:00'], 'domingo': ['Cerrado'], 'lunes': ['Cerrado'], 'martes': ['11:00–23:00'], 'miércoles': ['11:00–23:00'], 'jueves': ['11:00–23:00'], 'viernes': ['11:00–24:00']}",944 25 68 38,"['Veamos, sólo comí cuatro pinchos que estaban en la barra y la verdad es que nada destacables, el de pimiento con bacalao creo que me podrían haber dado la…Más', 'Con 3 platos para dos + postre sales bien. La comida está rica, vino blanco tb. Hay mucha variedad para elegir. Atención agradable. Lastima que no sea un pelín más grande. Me gustó.', 'La comida está rica y es de calidad.…Más']","['Céntrico establecimiento que se ha puesto bastante de moda en Bilbao. Imprescindible reservar incluso para las pequeñas mesas altas frente a la barra.', 'Next. La Gavilla - Bilbao -. Horario. Lunes: Cerrado. Martes: 11:00 - 23:00 ... c/ Colón de Larreátegui 32 48009 Bilbao. Este sitio web utiliza cookies para...', 'La Gavilla Bilbao · Página · Bar · +34 944 25 68 38 · lagavillabilbao.com.']"
La Kedada Bilbao,Bar restaurante de un hotel moderno y de paredes blancas que sirve pinchos españoles repostería y cócteles.,54,"4,0",,Tiene terraza· Tiene comedor privado· Tiene Wi-Fi,"Rodríguez Arias K., 66, Bajo, Abando, 48013 Bilbao, Biscay","{'sábado': ['19:00–23:00'], 'domingo': ['19:00–23:00'], 'lunes': ['19:00–23:00'], 'martes': ['19:00–23:00'], 'miércoles': ['19:00–23:00'], 'jueves': ['19:00–23:00'], 'viernes': ['19:00–23:00']}",944 41 31 00,"['La comida esta rica lo que pasa que algunos platos no se corresponden con la carta(pone focaccia pollo bacon queso y tiene aceitunas negras x ejemplo,pedí…Más', 'Es la bar del hotel. Es un local muy agradable, los camareros muy profesionales y atentos. El café lo hacen muy rico y los pintxos están bien. Para mi es un sitio perfectos para quedar con clientes.', 'Buen ambiente y buen local, almorzamos y desayunamos, pero es flojito como cafetería de un hotel de 3* y caro para el producto que ofrece.…Más']","['El restaurante Bar Restaurante La Kedada está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 4.5; Servicio: 4.5; Calidad/...', 'Bar y restaurante de vanguardia con ubicación privilegiada en el centro de Bilbao. #lakedada #ilunionbilbao · Photo by La Kedada Bilbao on December 22 2021.', 'La Kedada Bilbao Bilbao. 387 Me gusta · 34 personas han estado aquí. LAKEDADA  cocina de vanguardia con una ubicación privilegiada en el centro de...']"
Restaurante Aralar,,883,"4,3",10-20€,Se puede bailar· Tiene Wi-Fi· Sillas altas disponibles,"Ibáñez de Bilbao Kalea, nº 16, Abando, 48001 Bilbo, Bizkaia","{'sábado': ['12:00–21:00'], 'domingo': ['Cerrado'], 'lunes': ['7:30–22:00'], 'martes': ['7:30–22:00'], 'miércoles': ['7:30–22:00'], 'jueves': ['7:30–22:00'], 'viernes': ['7:30–22:00']}",944 23 09 52,"['No me gusta mucho ir a sitios de ningún partido político, pero me lo habían recomendado mucho y fui a probar su menú del día. Quizás fue el día, pero me pareció ……Más', 'Buen lugar para almorzar, tomar un pincho o comer. Magnifica atención de las trabajadoras. Dispone de menú del día y luego tienes otros menús más especiales. La comida es de buena…Más', 'Buscando un lugar en el centro de Bilbao que no fuese de pintxos y donde poder comer algún plato de cuchara, di con este restaurante, muy bien ubicado y con un…Más']","['Calle Ibáñez de Bilbao 16 Sabin Etxea. 48001 - BILBAO BIZKAIA. Tel: 944 230 952 · 944 230 963. E-mail Facebook Twitter Tripadvisor · Ir a google maps.', 'Información y reservas: Restaurante ARALAR Calle Ibáñez de Bilbao 16 Sabin Etxea. 48001 - BILBAO BIZKAIA. Teléfono: 944 230 952 · 944 230 963. E-mail...', 'Menú Bilbao · Menú PARTY · Menú Amoroto · Menú Sabin · Entrantes | Pescados y Carnes. Calle Ibáñez de Bilbao 16 Sabin Etxea. 48001 - BILBAO BIZKAIA. Tel:...']"
Bilbobeer,Bar restaurante con terraza que sirve tapas y platos españoles cerveza y vino.,13000,"4,1",10-20€,Tiene terraza· Hay karaoke· Ideal para ver deportes,"Adiskidetasun Kalea, 4, Abando, 48001 Bilbo, Bizkaia","{'viernes': ['8:00–1:30'], 'sábado': ['8:00–1:30'], 'domingo': ['7:30–24:00'], 'lunes': ['7:30–24:00'], 'martes': ['7:30–24:00'], 'miércoles': ['7:30–24:00'], 'jueves': ['7:30–24:00']}",944 74 10 95,"['Muy bueno y económico. Vine buscando un menú cerca de la estación de tren y encontré este lugar, que ofrecía un menú por 14€.…Más', 'Es un lugar para comer en plan económico y agradable', 'Bar típico, ideal para desayunar! Tienen varias tortillas y algunos pinchos a muy buen precio. Muy recomendable.…Más']","['Sobre todo sabemos de esto último de ahí el nombre Bilbobeer el centro de la cerveza en Bilbao. ... 944 74 10 95 contacto@bilbobeer.com Calle Amistad 4 48001...', 'El restaurante Bilbobeer está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 4.5; Servicio: 3.5; Calidad/precio: 4.5...', 'Bilbobeer Bilbao: Consulta 36 opiniones sobre Bilbobeer con puntuación 4 de 5 y clasificado en Tripadvisor N.°478 de 1.170 restaurantes en Bilbao.']"
El Figón taberna,,17000,"4,1",10-20€,Tiene terraza· Tiene Wi-Fi,"Orueta Apezpikuaren Kalea, 3, Abando, 48009 Bilbo, Bizkaia",{},946 07 06 51,"['Taberna clásica en el centro de Bilbao con excelente cocina tradicional , puntos de cocina bien cogidos y sobre todo el menú del día y pintxos muy bien…Más', 'Un buen lugar para comer. El menú tiene un precio bastante bueno (12.50) para lo que te dan. La presentación de los platos está muy bien. Por la tarde-noche hay ……Más', 'La cerveza de barril esta buenísima, los vinos especiales , las tapas ricas - ricas. Comimos lacon y queso con vino . Lo mejorable el pan , de verdad , la calidad de los precocidos se nota .…Más']","['Ubicación y contacto. Calle Obispo Orueta 1 Bilbao España. Abando.', 'Información del restaurante. Calle Obispo Orueta 1 Bilbao España · 011 34 946 07 06 51. Nombre local: Dirección local: Opiniones. N.º 162 de 1.315...', 'Consigue las mejores ofertas para El Figon en Bilbao y conoce la nota y posición en el ranking de GastroRanking.']"
OHANA BAR RESTAURANTE,,417,"4,5",10-30€,Tiene terraza· Sirve buenos cócteles,"Acebal Idígoras Kalea, 6, Abando, 48001 Bilbo, Bizkaia",{},946 56 56 28,"['Es un sitio que tenía muchas ganas de probar, lo vi por internet y me invitó a visitarles. Fuimos a comer un día y la verdad que el local tiene un rollo surfero…Más', 'El trato excelente y todo lo que pedimos para comer estaba brutal. Pedimos ensalada de rulo a la plancha, croquetas variadas, nachos y chuletón. Todo exquisito!…Más', 'El mejor bar de todo Bilbao para disfrutar de tiempo de calidad. El equipo es indudablemente profesional y muy servicial y la comida es excelente.…Más']","['El restaurante Bar-Restaurante Ohana está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 4; Servicio: 4.5; Calidad/precio: 4...', '-----BAR RESTAURANTE ---- MENÚ DEL DÍA de Lunes a Viernes Cocina cerrada lunes martes por la tarde noche ☕ ------946 565...', 'top of page. Únete a la app. logo-ohana-blancoo png.png. Nuestro Menú · A la Carta · postres · Menus navidad · NUESTROS PLATOS · COCTELES · ABOUT ME · MENÚ...']"
Restaurante La Olla,Restaurante acogedor con terraza a pie de calle especializado en pinchos jamón ibérico y vinos españoles.,2000,"4,1",1-20€,Tiene terraza,"Diputazio Kalea, 12, Abando, 48008 Bilbo, Bizkaia","{'sábado': ['9:00–24:00'], 'domingo': ['11:00–23:00'], 'lunes': ['7:00–23:00'], 'martes': ['7:00–23:00'], 'miércoles': ['7:00–23:00'], 'jueves': ['7:00–23:00'], 'viernes': ['7:00–24:00']}",944 16 59 65,"['No tuvieron,el mejor día,toda la comida fría,y cuando,nos volvían a calentar,seguía,igual,o, parecido. Pedimos chuleta,y nos sacaron, entrecot. Se que es un…Más', 'Sitio súper recomendable: comida buenísima (el pincho de atún plancha espectacular!) y servicio fantástico: Marta es una maravilla: simpática y muy profesional, así da gusto!…Más', 'Nos atendieron en la terraza cubierta. Fenomenal y en el centro de Bilbao rodeado de más establecimientos donde se genera un buen ambiente.…Más']","['En el bar La Olla les ofrecemos productos de primerísima calidad que pueden degustar con nuestros pintxos. Disponemos de una barra espectacular que...', 'En el restaurante La Olla de la Plaza Nueva les ofrecemos productos de primerísima calidad que pueden degustar con nuestros pintxos.', 'Todos nuestros canapés se preparan para llevar. Bar La Olla Calle Diputación 12 48008 Bilbao...']"
Restaurante Ambigu,Platos creativos con raíces vascas en un animado espacio con copas eventos musicales y exposiciones de arte.,833,"4,4",10-20€,Tiene terraza· Se sirven platos vegetarianos· Se puede bailar,"Done Bikendi Kalea, 5, Abando, 48001 Bilbo, Bizkaia","{'viernes': ['9:00–2:30'], 'sábado': ['20:00–2:30'], 'domingo': ['Cerrado'], 'lunes': ['9:00–17:00'], 'martes': ['9:00–17:00'], 'miércoles': ['9:00–17:00'], 'jueves': ['9:00–17:00']}",944 24 23 43,"['Mejor llamar para reservar mesa.\nEl precio del menú es de 17,50€.…Más', 'Un restaurante en que te hacen sentir bien. El servicio es súper cercano y la calidad de su comida es muy alta. El menú del día es una bonita experiencia. El ……Más', 'La comida estaba deliciosa y el personal que nos atendió fue muy amable, nos sentimos muy cómodos. ……Más']","['Menú rico 17 euros pero comida de calidad. Buen trato y muy buena música. Para pasar un buen rato y comer rico. Decorado con gusto alternativo.', 'Ambigú  oficial  · Página · Restaurante · +34 944 24 23 43 · ambigubilbao.bigcartel.com.', 'San Vicente 5 Bilbao Spain 48001. www.expansion.com/fueradeserie/gastro/album/2023/03/23/...']"
