title,description,n_reviews,stars_avg,price_range,extra_features,street,opening_hours,phone_number,reviews,extra_content
El suavecito bilbao,,1,"5,0",,,"Calle Gral. Concha, n37, Recalde, 48012 Bilbao, Biscay","{'miércoles': ['9:00–24:00'], 'jueves': ['9:00–24:00'], 'viernes': ['9:00–24:00'], 'sábado': ['9:00–1:00'], 'domingo': ['6:00–1:00'], 'lunes': ['9:00–24:00'], 'martes': ['9:00–24:00']}",686 05 33 33,[],[]
Restaurante La Alhóndiga,,691,"4,0",10-20€,,"Salazar Jeneralaren Kalea, 3, Errekalde, 48012 Bilbo, Bizkaia","{'miércoles': ['9:00–22:00'], 'jueves': ['9:00–22:00'], 'viernes': ['9:00–22:00'], 'sábado': ['9:00–22:00'], 'domingo': ['9:00–22:00'], 'lunes': ['Cerrado'], 'martes': ['9:00–22:00']}",,"['Comimos el menú de fin de semana. Hay que abonar preserva de 5 € por comensal, que descuentan en el total final.…Más', 'La comida de 10, para ser las 15 horas , había de todo.15 primeros, 15 seguros y 25 postres .Servicio lento. Había mucha gente. Entendible por ser estas fechas.…Más', 'La comida sabrosa pero poco detalle con los clientes. Hemos ido 11 personas y no pudieron ir dos, estando el local a tope y nuestra mesa sin sitio nos han…Más']","['La Alhondiga General Salazar 3 48012 Bilbao. Correo electrónico: info@laalhondiga.es. Por favor confirme las reservas llamando al telefono: 944105764...', 'El restaurante Restaurante La Alhóndiga está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 3; Servicio: 3; Calidad/precio: 3...', 'RESTAURANTE YANDIOLA. Yandiola te invita a disfrutar de una experiencia gastronómica y de ocio única en Euskadi. VER CARTA. Como el edificio de la Alhóndiga...']"
Bar GANEKO,,226,"4,3",1-10€,,"Calixto Diez K., 3, Errekalde, 48012 Bilbo, Bizkaia","{'miércoles': ['6:00–1:00'], 'jueves': ['6:00–1:00'], 'viernes': ['6:00–1:00'], 'sábado': ['7:00–2:30'], 'domingo': ['8:00–1:00'], 'lunes': ['6:00–1:00'], 'martes': ['6:00–1:00']}",,"['Cuándo estaba Camilo era mejor. Si se pide un café sólo largo sirven uno mini. Para lo que cobran hay sitos mejores por la zona. Para no volver.…Más', 'Lo que más me ha gustado es el haberme sentido como en casa y mi casa es muy sana. La camarera ha sido extraordinariamente agradable con un servicio excelente y una rapidez extrao…Más', 'Un ambiente super cercano, pintxos variados y Daisy la mejor camarera, super atenta y amable.…Más']","['Bar de pintxos frente a la zona de poteo de Zugasti. Sacan tortilla de patata muy rica continuamente. La puedes pedir para llevar. El cañero es Estrella Galicia...', '8 ene 2024 — Bar GANEKO n.º 180 entre los pubs y bares de Bilbao: 226 opiniones y 57 fotos detalladas. Localízalo en el mapa y llama para reservar mesa.', 'Explora Bilbao con RUTAS bilbaoDendak. Descubre con nuestras rutas guiadas a través del comercio un Bilbao que no conocías.']"
"Bar ""Amezola""",,152,"4,0",€,,"Mozart Pl., Recalde, 48012 Bilbao, Biscay","{'miércoles': ['6:30–22:00'], 'jueves': ['6:30–22:00'], 'viernes': ['6:30–22:00'], 'sábado': ['Cerrado'], 'domingo': ['8:00–22:00'], 'lunes': ['6:30–22:00'], 'martes': ['6:30–22:00']}",,"['Buena barra de pintxos y una amplia terraza.…Más', 'Comoda terraza al solete de la plaza Mozart, ideal para tomarte un rico café o un aperitivo mientras los niños juegan en el parque, trato amable y cercano', 'Dueño amable, buen café y limpieza, da gusto ir a la terraza a tomarse algo.']","['20 feb 2024 — Bar ""Amezola"" n.º 211 entre los pubs y bares de Bilbao: ❤️ 149 opiniones y 9 fotos detalladas. Localízalo en el mapa y llama para...', '8 feb 2024 — Opiniones de los clientes sobre platos y características. el parque de Amezola ... N.º 1033 de 2686 pubs y bares en Bilbao · Bar Maracaibo. N.º...', 'Bar ""Amezola"" en Bilbao. Mozart Pl.  Biscay Bilbao · 944 04 42 16. Las mejores...']"
Bar Plata & Brochettes,,11000,"4,2",10-20€,,"Egaña Kalea, 11, Abando, 48010 Bilbo, Bizkaia","{'miércoles': ['9:00–1:00'], 'jueves': ['9:00–1:00'], 'viernes': ['9:00–1:00'], 'sábado': ['9:00–1:00'], 'domingo': ['9:00–1:00'], 'lunes': ['9:00–1:00'], 'martes': ['9:00–0:30']}",,"['Conocía este lugar por haber entrado pero para tomar algo. Hoy he entrado para comer y ha resultado ser una grata sorpresa.…Más', 'Excelente, pero necesita una buena extracción de humos, agobia muchísimo estar comiendo como si estuvieras dentro de la cocina. Además del olor que se adhiere a…Más', 'Lugar céntrico cercano a la Alhóndiga, excelente para para tomar pintxos y raciones, suele estar muy lleno en horas punta pero su personal te atiende de…Más']","['brochettes · Pintxo Moruno · Brocheta Moruna · Pollo Moruno · Rape & Langostinos · Salmón & Langostinos. ensaladas.', 'Brocheta de rape con langostinos excelente. Fecha de la visita: agosto de 2023. ¿Útil? Esta es la opinión subjetiva de un miembro de Tripadvisor no de...', 'Bar Plata - Bar & Brochetas - Brochettes Plantxa Brasa Raciones Ensaladas.']"
Bar Meet Time,,23,"4,7",,,"Gordóniz Kalea, 34, Errekalde, 48012 Bilbo, Bizkaia","{'miércoles': ['9:00–23:00'], 'jueves': ['9:00–23:00'], 'viernes': ['9:00–24:00'], 'sábado': ['10:00–24:00'], 'domingo': ['11:00–23:00'], 'lunes': ['Cerrado'], 'martes': ['9:00–23:00']}",946 85 46 99,"['Un bar muy bueno!! la pareja que lo lleva son un encanto, buenos profesionales. Las rabas y los mejillones muy ricos. Ya nos habían comentado que estaba muy bien y fuimos a conocerlo, cum…Más', 'Amplio local visitado por lugareños.Gran cristalera a través de la cual se ve el bar desde el exterior.Baños muy pequeños y con pestillo roto.Buen trato.…Más', 'Sitio céntrico, pero alejado de las aglomeraciones, abierto todo el día, trato familiar, los dueños encantadores, unas rabas ricas y diferentes y unas…Más']","['Bar español | Meet Time | bilbao · Un excelente bar con una carta muy amplia · Organizamos tu evento privado.', 'Bar | Meet Time | bilbao - Este es el lugar ideal para tomar algo refrescante en un ambiente agradable. Ponle fin a un duro día de trabajo en el bar Meet...', '26 feb 2024 — Bar Meet Time n.º 202 entre los pubs y bares de Bilbao: 23 opiniones y 18 fotos detalladas. Localízalo en el mapa y llama para reservar...']"
Kutuna taberna,,223,"4,4",1-10€,,"Zugastinobia Kalea, 13, Errekalde, 48012 Bilbo, Bizkaia","{'miércoles': ['11:30–16:00', '19:00–23:30'], 'jueves': ['11:30–16:00', '19:00–23:30'], 'viernes': ['11:30–16:00', '19:00–23:30'], 'sábado': ['12:00–16:00', '19:00–23:30'], 'domingo': ['12:00–16:00'], 'lunes': ['Cerrado'], 'martes': ['Cerrado']}",,"['Mezcla de pintxos tradicionales con modernos, muy buena calidad. Bar muy pequeño, pero con terraza. Todo muy bueno.…Más', 'Como amante del vermut, leí sobre su Beermut (3€) en un artículo y no podía irme de Bilbo sin probarlo... efectivamente no defrauda. Es una mezcla sorprendente.…Más', 'Entremos a tomar un aperitivo , tomamos un pincho de oreja y en otra ocasión cococha al pil-pil ambos increíbles.…Más']","['Kutuna Taberna · Página · Bar de vinos · +34 621 38 32 17 · Calificación · 47 18 opiniones.', '25 oct 2021 — KUTUNA TABERNA Bilbao - Fotos Número de Teléfono y Restaurante Opiniones - Tripadvisor · Bilbao · Provincia de Vizcaya · País Vasco · España...', 'Consigue las mejores ofertas para Kutuna Taberna en Bilbao y conoce la nota y posición en el ranking de GastroRanking.']"
Bar La Rueda de Bilbao -basque food-,,155,"4,3",1-10€,,"Pablo de Alzola Kalea, 3, Basurtu-Zorrotza, 48012 Bilbo, Bizkaia","{'miércoles': ['7:30–23:00'], 'jueves': ['7:30–24:00'], 'viernes': ['7:30–24:00'], 'sábado': ['9:00–24:00'], 'domingo': ['10:00–23:00'], 'lunes': ['7:30–23:00'], 'martes': ['7:30–23:00', 'Actualizado por esta empresa hace 3 semanas']}",631 40 56 34,"['El mejor lugar para pasar el rato y disfrutar de unos excelentes pintxos, todo el personal es maravilloso y brindan una atención de 10! 100% recomendado!…Más', '100% recomendable. Pintxos, raciones y cazuelitas muy buenas a buen precio. Buen sitio para tomar algo y comer en muy buen ambiente. El trato muy amable y crecano 👏👍', 'Menú del día excelente, 5 personas, con vino, refrescos, cerveza, cafés y postre 100€ y poco, excelente atención al cliente y calidad de producto, elaboración, etc…Más']","['Ve 3 fotos de 51 visitantes sobre bueno para ocasiones especiales y pintxos. ""Muy buena barra de pintxos y buenas copas preparadas""', 'Restaurants near Bodegas Ramon Bilbao · Casa Lola · Palacio De Bornos · El Cano De La Vega · La vina de Rueda · Restaurant Abrasador El Astral · El Horno De La Vina...', 'Khachapuri Oro Kababi Berenjenas con nuez ⏰⏰⏰La cocina está abierta todos los jueves y viernes de 20:00 a 22:00. Es mejor reservar mesa con antelación.']"
Bar Biltokia,,9,"3,9",,,"Labayru Kalea, 27, Errekalde, 48012 Bilbo, Bizkaia","{'miércoles': ['Cerrado'], 'jueves': ['10:00–22:30'], 'viernes': ['10:00–22:30'], 'sábado': ['11:30–23:00'], 'domingo': ['11:30–23:00'], 'lunes': ['10:00–22:30'], 'martes': ['10:00–22:30']}",,"['A falta de pasarme otro día, uno de los mejores cafés que te puedes tomar en la zona. Amabilidad y buen ambiente en uno de esos sitios de toda la vida', 'Es un bar que se puede estar a gusto']","['16 ene 2024 — Si pasas cerca de Plaza de Toros visita este bar. Si te gusta la cocina española merece la pena que visites Bar Biltokia.', '31 ene 2024 — Ver Biltokia en Bilbao CALLE LABAYRU 27 en Cylex y encuentre ☎ 944 21 31... datos de contacto ⌚ horario de apertura.', 'La carta actualizada de Bar Biltokia. Precios y opiniones de los clientes sobre sus platos.']"
Restaurante Melao de Caña,Grandes fotomurales decoran las paredes de este desenfadado restaurante de cocina colombiana,570,"3,7",10-20€,,,{},,"['La reseña la pongo más por la mala experiencia con la comida, hemos ido 4 personas a comer una picada y nos la han sacado requemada de seguro se les olvidó…Más', 'He pedido un arroz chino adomicilio y me ha llegado un arroz solo con salsa china una parte blanca y otra con salsa un asco y como dos camarones y de carne una nada deberían mejor…Más', 'No me gusto la comida pedimos unas empanadas y estaban congeladas y habia gente bebiendo como si fuera un bar de copas nos toco hasta limpiar la mesa para poder cent…Más']","['Es uno de los platos tipicos de la gastronomia colombiana es una sopa muy popular entre colombianos que contiene carne de falda yuca mazorca patata...', 'Melao de caña · Calle General Concha 48012 Bilbao España · Página web · Mejora este perfil.', 'Melao de caña Bilbao. 3055 Me gusta · 3199 personas han estado aquí. restaurante colombiano de gastronomía del pais con especialidades a la brasa-leña.']"
