title,description,n_reviews,stars_avg,price_range,facilities,street,opening_hours,phone_number,featured_reviews,extra_content
El Viejo Norte,,390,"4,5",1-10€,,"Basurtu Kastrexana Errepidea, 17, Basurtu-Zorrotza, 48002 Bilbo, Bizkaia","{'miércoles': ['7:00–23:30'], 'jueves': ['7:00–23:30'], 'viernes': ['7:00–0:30'], 'sábado': ['9:00–0:30'], 'domingo': ['9:00–23:30'], 'lunes': ['7:00–23:30'], 'martes': ['7:00–23:30']}",,[],[]
Zurito Berria,,6,"3,7",20-30€,,"Basurtuko Geltokiko Kalea, 4, Basurtu-Zorrotza, 48002 Bilbo, Bizkaia",{},,"['Poca variedad de pinchos, le preguntamos a la camarera si la tortilla tiene cebolla y no lo sabe.…Más', 'No puedo opinar de las raciones porque nos fue imposible probarlas pero si del servicio que fue lamentable.…Más', 'Hemos comido un cachopo buenísimo.\nEl postre de la casa estaba muy bueno.\nHabía más cosas para comer pero nos apetecía el cachopo.']","['Descubre con nuestras rutas guiadas a través del comercio un Bilbao que no conocías. EXPLORAR.', '26 ene 2024 — Zurito Berria n.º 110 entre las barbacoas de Bilbao: 6 opiniones y 3 fotos detalladas. Localízalo en el mapa y llama para reservar mesa.', 'Zurito Berria · €350–€550 mensual · Jornada parcial. Ayudante/a de Pizzería y Repartidor. Telepizza. Se necesitan auxiliares de tienda y...']"
Bar 19,,62,"4,3",€,,"Bo. Altamira, 19, Basurto-Zorroza, 48002 Bilbao, Biscay","{'miércoles': ['8:00–24:00'], 'jueves': ['8:00–24:00'], 'viernes': ['8:00–24:00'], 'sábado': ['10:00–24:00'], 'domingo': ['10:00–24:00'], 'lunes': ['8:00–24:00'], 'martes': ['8:00–24:00']}",,"['Un bar en que cualquier hora es el sitio ideal, por las mañanas un rico café, para potear un gran ambiente de barrio, a media tarde una buena copa y por la noche ricas hamburguesas …Más', 'Un sitio súper acogedor! Te sientes como en casa y un trato muy agradable. Y la calidad de los productos excelentes. No te lo puedes perder! Ah! Y unas vistas a al campo de San mames…Más', 'Recomendado para todos los peregrinos del camino que paran en el albergue que esta justo al lado , muy buena cerveza y gente amable!']","['11 feb 2024 — Bar 19 n.º 317 entre los pubs y bares de Bilbao: 62 opiniones y 8 fotos detalladas. Localízalo en el mapa y llama para reservar mesa.', 'Información de tráfico en tiempo real para llegar a Bar 19 Bo. Altamira 19 Bilbao basada en actualizaciones en directo del tráfico y de las carreteras...', 'La carta actualizada de Bar 19. Precios y opiniones de los clientes sobre sus platos.']"
Geltoki,,211,"4,4",10-20€,,"Basurtuko Geltokiko Kalea, 2, Basurtu-Zorrotza, 48002 Bilbo, Bizkaia","{'miércoles': ['8:30–2:00'], 'jueves': ['8:30–2:00'], 'viernes': ['8:30–2:00'], 'sábado': ['8:30–2:00'], 'domingo': ['8:30–17:00'], 'lunes': ['Cerrado'], 'martes': ['Abierto 24 horas']}",,"['somos de la zona y lo hemos descubierto relativamente hace poco, buen ambiente, unos pintxos de 10 y el trato muy familiar. el bar es pequeño, pero es que por…Más', 'Fuimos el domingo (17/04/2022) a comer algo. Nos paramos allí porque pasábamos por allí y nos llamó la atención…Más', 'Nada recomendable. Directiva nefasta. No me extraña que los empleados estén amargados .…Más']","['Cafe bar geltoki · Puntuaciones y opiniones · Detalles · Ubicación y contacto. Calle Plaza Miguel de Unamuno 1 48006 Bilbao...', 'Café Geltoki Bilbao. 800 Me gusta · 1 personas están hablando de esto · 511 personas estuvieron aquí. Cafetería.', 'Plaza con mucho ambiente. El local es pequeño pero tiene una amplia terraza aunque no está cerrada. Unos vinitos y unas rabas al calor de las chimeneas de la...']"
La Jamonería de Basurto,,480,"4,7",1-10€,,"Novia Salcedo K., 10, Basurtu-Zorrotza, 48012 Bilbo, Bizkaia","{'miércoles': ['18:00–24:00'], 'jueves': ['18:00–24:00'], 'viernes': ['12:00–24:00'], 'sábado': ['12:00–24:00'], 'domingo': ['12:00–16:00'], 'lunes': ['Cerrado'], 'martes': ['18:00–24:00', 'Actualizado por teléfono hace 5 semanas']}",,"['Buena calidad y un servicio espectacular. Un lugar perfecto donde picotear algo a un buen precio y siempre muy bien atendido. La única pega es que el local no…Más', 'Padre e hijo lo saben hacer bien, además de que es uno de los sitios en Bilbao para comer embutido de calidad y otras cosas de su gran oferta. Ánimo y seguir así que seguirá sien…Más', 'No hay pero en la jamonería, si hablamos del servicio, increíble, la txabala un encanto y una gran profesional, josu sin comentario, encantador y el jefe otro…Más']","['Un local con una amplia terraza que te ofrece productos de primerísima calidad. Raciones embutidos conservas quesos y un largo etcétera. No te vayas sin...', 'Nuestro horario es de martes a jueves: de 18:00 a 24:00. Viernes y sábado de 12:00 a 24:00 y. Domingos de 12:00 a 18:00. Lunes cerrado por descanso.', 'Somos un bar jamoneria donde se pueden degustar una selección de buenos vinos y buenas cervezas así como raciones y pinchos de excelente calidad.']"
Bar La Taberna Basurto,,285,"4,4",10-20€,,"Iturribarria Kalea, 6, Basurtu-Zorrotza, 48002 Bilbo, Bizkaia","{'miércoles': ['8:00–22:00'], 'jueves': ['8:00–22:00'], 'viernes': ['8:00–23:30'], 'sábado': ['10:00–22:00'], 'domingo': ['10:00–22:00'], 'lunes': ['8:00–22:00'], 'martes': ['8:00–22:00', 'Confirmado por esta empresa hace 9 semanas']}",,"['Hamburguesa de espectáculo, después de un día caótico y de lluvia por Bakio y Bermeo…Más', 'Comida casera. Menú del día relación calidad-precio insuperable. Me pedí una crema de verduras, churrasco y tarta de galletas y chocolate. Todo espectacularmente rico. La camare…Más', 'Hemos probado muchas de las raciones y bocadillos de la carta. Calidad-precio muy bueno, raciones generosas en general. La chica joven que nos atendió fue super amable y atenta,…Más']","['Ubicación y contacto. Iturribarria Kalea 6 Calle Peatonal 48002 Bilbao España.', ""Un bar 'normal' reconvertido en templo de las hamburguesas. Bajo la apariencia de un bar 'normal' se esconde la mejor hamburguesa ibérica de todo Bilbao o sea..."", '25 may 2020 — Tortillas y calamares en la Taberna Basurto. Lectores recomiendan este bar de Bilbao Iturribarria 6.']"
Bar el Rincón de Basurto,,12,"4,8",10-20€,,"Novia Salcedo K., 20, Basurtu-Zorrotza, 48012 Bilbo, Bizkaia","{'miércoles': ['18:00–23:30'], 'jueves': ['10:00–23:30'], 'viernes': ['10:00–0:30'], 'sábado': ['12:00–1:00'], 'domingo': ['12:00–1:00'], 'lunes': ['10:00–23:30'], 'martes': ['10:00–23:30']}",,"['Trato inmejorable, el chico q lo regenta es muy simpático y atento. Su curry de pollo es el mejor que he comido nunca.…Más', 'Gente muy agradable, atentos, tienen comida para llevar, nos ofrecieron empanadillas Nepal para q las conociéramos y la verdad nos…Más', 'Buen rollo y excelente café.…Más']","['28 ene 2024 — Bar el Rincón de Basurto n.º 34 entre los pubs y bares de Bilbao: 12 opiniones y 1 foto detallada. Localízalo en el mapa y llama para...', 'Bar el Rincón de Basurto arrio Basurtu-Zorrotza: fotos ubicación y datos de contacto horario y ✉ opiniones de visitantes en Nicelocal.es.', 'Bar el Rincón de Basurto con sede en Bilbao es Bar. La dirección postal de Bar el Rincón de Basurto es Novia Salcedo K. 20 48012 Bilbo Bizkaia.']"
Bar Rudi,,7,"4,3",,,"C. Clara Campoamor Kalea, 2, Basurto-Zorroza, 48013 Bilbao, Biscay","{'miércoles': ['9:00–22:00'], 'jueves': ['9:00–22:00'], 'viernes': ['9:00–22:00'], 'sábado': ['9:00–22:00'], 'domingo': ['9:00–22:00'], 'lunes': ['9:00–22:00'], 'martes': ['Cerrado']}",689 88 58 12,"['no está mal este bar combertido en kebab buen servicio', 'Best service ❤\nVery Nice man…Más']","['27 dic 2023 — Bar Rudi n.º 1653 entre los pubs y bares de Bilbao: 7 opiniones y 3 fotos detalladas. Localízalo en el mapa y llama para reservar mesa.', 'La carta actualizada de Bar Rudi. Precios y opiniones de los clientes sobre sus platos.', ""Bar Rudi és a Bilbao. Bar Rudi es dedica a activitats de Bars pubs i tavernes. Podeu posar-vos en contacte amb l'empresa al 689 88 58 12.""]"
La Karola,,1000,"4,3",1-20€,,"Olabeaga Kaia, 22, Basurtu-Zorrotza, 48013 Bilbo, Bizkaia","{'miércoles': ['12:00–24:00'], 'jueves': ['12:00–24:00'], 'viernes': ['12:00–24:00'], 'sábado': ['12:00–24:00'], 'domingo': ['12:00–24:00'], 'lunes': ['Cerrado'], 'martes': ['12:00–23:00']}",,"['Muy buena comida y el servicio encantador y cercano. Fuimos en familia a comer y pedimos: Surtido de ibéricos, ensalada variada(De 10), croquetas (jamón,…Más', 'Un local muy acogedor con un ambiente muy agradable y, la atención del personal es inmejorable, en el grupo había celíacos y les aconsejaron muy bien. Pedid…Más', 'Trato muy amable por parte de l@s camarer@s (en mi caso).\nComimos unos pintxos con unas cañas, después de dar un paseo por Olabeaga y…Más']","['El restaurante La Karola está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 4; Servicio: 4; Calidad/precio: 4...', 'La Karola además de la famosa grúa también es un bar que se encuentra en el barrio de Olabeaga. Este barrio es conocido con el sobrenombre de Noruega por la...', 'La Karola Berria !! Ven y pregunta por la gran oferta de vinos que disponemos de Bodegas Altún  podrás disfrutar además de la gran variedad de Vinos de...']"
Restaurante Elvira Basurto,,408,"4,5",10-20€,,"a Castrejana, Basurtu Kastrexana Errepidea, 5, Basurtu-Zorrotza, 48002 Bilbo, Bizkaia","{'miércoles': ['9:00–17:00'], 'jueves': ['9:00–17:00', '19:00–23:00'], 'viernes': ['9:00–17:00', '19:00–23:00'], 'sábado': ['9:00–17:00', '19:00–23:00'], 'domingo': ['9:00–17:00'], 'lunes': ['9:00–17:00'], 'martes': ['9:00–17:00', 'Actualizado por esta empresa hace 8 semanas']}",,"['Menú fin de semana 20 euros aunque dentro ponía 18... subida de inicio de año. Alubias flojas, lubina mal limpiada con mucha espina, se salva el postre que…Más', 'No lo recomiendo en absoluto. Menú fin de semana 18 euros .\nArroz malísimo.…Más', 'El trato ha sido amable y el menú de fin de semana estaba rico. Las chuletas que servirán tenían muy buena pinta. Solo lo empaña la humareda que tiene el comedor por las chuletas…Más']","['Ubicación y contacto. Carretera Basurtu-kastrexana 5 48002 Bilbao España. A...', 'Elvira Bar Restaurante: Cocina casera en Basurto - 52 opiniones y 14 fotos de viajeros y ofertas fantásticas para Bilbao España en Tripadvisor.', 'Elvira Bar Restaurante en Bilbao. Carretera Basurtu-kastrexana 5 Bilbao · 946 12 45...']"
