title,description,n_reviews,stars_avg,price_range,facilities,street,opening_hours,phone_number,featured_reviews,extra_content
PUB K2 BILBAO,Pintxos de autor en cafetería y bar de copas con muebles rojos y programación de exposiciones y conciertos.,13000,"4,3",10-20€,,,{},,"['No es raro que en las fiestas de Bilbao los establecimientos bajen la calidad en todos los aspectos por la carga laboral.…Más', 'Estupendo bar al que sigo volviendo y volviendo. El trato espectacular y el llegar al un bar y poder elegir en una carta de posibilidades veganas es un…Más', 'Buen bar donde cenar, buena comida, con opciones veganas/vegetarianas, variedad de birras, si tienes dudas como nosotras no hay problema, el camarero muy…Más']","['Conoce nuestro bar de pintxos en Bilbao. Somos K2 y también te ofrecemos hamburguesas y el mejor ambiente para disfrutes de tu copa por la noche. Visítanos.', 'El restaurante Pub K2 Bilbao está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 4; Servicio: 3.5; Calidad/precio: 4...', '944 16 34 50 llevar y reservas Pintxos de autor Cervezas artesanales #vegana #vegetariana Exposiciones de arte y eventos.']"
Bar La Muga,,21000,"4,3",1-10€,,"Muñoz Maria Kalea, 8, Ibaiondo, 48005 Bilbo, Bizkaia","{'miércoles': ['12:00–1:00'], 'jueves': ['12:00–1:00'], 'viernes': ['12:00–2:30'], 'sábado': ['12:00–2:30'], 'domingo': ['12:00–1:00'], 'lunes': ['12:00–1:00'], 'martes': ['Cerrado', 'Actualizado por esta empresa hace 5 semanas']}",,"['Comimos algo rápido.\n2 adultos +2 niñas…Más', 'Fuimos en pareja en dos días distintos y ambos había un ambiente muy agradable y nos atendieron con mucha amabilidad. Hay tres o cuatro opciones de pinchos…Más', 'Una tasca y muchos ambientes, dependiendo del día de la semana, y la hora. Un sitio para tomarse una trago tranquilo, picar algo de su carta, optar por una de…Más']","['Nos gusta el vino y eso se nota en nuestra oferta con caldos clásicos y nuevos hallazgos. Puedes comprar una botella empezarla en el bar y acabarla en tu casa.', 'RANGO DE PRECIOS. 3 € - 5 € ; Tipos de cocina. Española Bar ; Dietas especiales. Opciones veganas Opciones vegetarianas.', 'Un templo gastronómico y musical. Un local con historia y mucho estilo. Bar emblemático del Casco Viejo La Muga Taberna nació a principios de los años...']"
Peso Neto taberna-jatetxea,Bar de barrio que sirve tapas y entrantes creativos y vino en un espacio peculiar con vigas vistas.,17000,"4,4",10-20€,,"San Frantzisko Kalea, 1, Ibaiondo, 48003 Bilbo, Bizkaia","{'miércoles': ['11:00–1:00'], 'jueves': ['11:00–1:00'], 'viernes': ['11:00–2:00'], 'sábado': ['11:00–2:00'], 'domingo': ['12:00–1:00'], 'lunes': ['11:00–1:00'], 'martes': ['11:00–1:00', 'Actualizado por teléfono hace 8 semanas']}",,"['Buenísima la Relaciòn , Calidad Precio. Muy bueno el menú del día. Muy elaborado. Comida Sana, rica, original, y muy sorprendente. Todo está rico y nada…Más', 'Fantástico. Decoración super original, con infinidad de objetos curiosos reciclados. Atención excelente, muy atento y amable. La comida genial, recomiendo todos…Más', 'Me gustó mucho el menú del día, muy buena relación calidad precio y platos fuera de lo común y muy ricos. Recomiendo el risotto, la burger y la lasaña. La tarta de zanahoria estaba i…Más']","['Cocina casera cocina alcahueta picoteo menús de degustación cocktails combinados… en la parte vieja de Bilbao.', 'alquiler del viejo Bar Bilbao de San Francisco. La esquina acristalada y su ... BilbaO · 944 360 190. RESERVAS. CARTA · MENÚ DEL DÍA. DEGUSTACIÓN...', 'Ubicación y contacto. San Frantzisko Kalea 1 48003 Bilbao España. A...']"
Iturriza Taberna,,919,"4,3",10-20€,,"Pl. Nueva, 5, Ibaiondo, 48005 Bilbao, Biscay","{'miércoles': ['12:00–22:00'], 'jueves': ['12:00–22:00'], 'viernes': ['12:00–23:00'], 'sábado': ['12:00–23:00'], 'domingo': ['12:00–22:00'], 'lunes': ['12:00–22:00'], 'martes': ['12:00–22:00']}",,"['Fuimos a probar los pintxos y es verdad que por tiktok nos recomendaban este sitio, puede ser que recién hechos estén riquisimos, pero a las 19;30h estaban ya…Más', 'lugar se encuentra en la Plaza Nueva de Bilbao. El local es acogedor y el personal es muy atento con una amabilidad y sentimiento hogareño. Las patatas bravas estaban fantástic…Más', 'El primer día en Bilbao decidimos probar un surtido de pinchos y fue una buena elección, para ir abriendo boca y disfrutar de los pichos bilbaínos. Atención buena y local bastante c…Más']","['Adaptamos los platos de la gastronomía tradicional vasca al concepto de pintxo para que puedas degustar en Bilbao el arte culinario de nuestra tierra.', 'El restaurante Iturriza Taberna está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 3.5; Servicio: 3.5; Calidad/precio: 3.5...', 'CORRECTO SERVICIO GENIAL! Lugar inmejorable en la plaza nueva de Bilbao. Ofrecen una gran variedad de pintxos. Hay una oferta de 10 pinchos por el precio de 15...']"
Bar Erreka,,225,"3,7",10-20€,,"Pl. Nueva, 6, Ibaiondo, 48005 Bilbao, Biscay","{'miércoles': ['10:00–24:00'], 'jueves': ['10:00–24:00'], 'viernes': ['10:00–2:00'], 'sábado': ['10:00–2:00'], 'domingo': ['10:00–24:00'], 'lunes': ['10:00–24:00'], 'martes': ['10:00–24:00']}",,"['Lo del camarero ""fuerte"" es absolutamente vergonzoso. Insulta a los clientes y tiene una actitud de otra época. L sitio es sucio a más no poder. No quisiera ver la cocina. No vuelvo ni …Más', 'Estupendo! Nos atendieron genial y los pinxos riquísimos. Pedimos la hamburguesa con queso de cabra y... Increíble!…Más', 'Estábamos en la terraza tomando algo y dos chicas se han sentado en la mesa de al lado. Cuando han pedido la bebida, le han comentado al camarero si podía…Más']","['Erreka Taberna - Pintxos tradicionales vascos raciones rabas tapas y hamburguesas y productos de temporada - Plaza Nueva 6 Bilbao.', 'Tipos de cocina. Bar Española Pub ; Comidas. Cenas Comidas ; VENTAJAS. Capacidad Acceso para discapacitados Sirve alcohol Terraza exterior.', 'Erreka Taberna - Pintxos tradicionales vascos raciones rabas tapas y hamburguesas y productos de temporada - Plaza Nueva 6 Bilbao.']"
Iñakiren Taberna,,889,"4,3",10-20€,,"Barrenkale Barrena, 14, Ibaiondo, 48005 Bilbo, Bizkaia","{'miércoles': ['13:30–17:00', '19:30–24:00'], 'jueves': ['13:30–17:00', '19:30–24:00'], 'viernes': ['13:30–17:00', '19:30–24:00'], 'sábado': ['13:30–17:00', '19:30–24:00'], 'domingo': ['13:30–17:00'], 'lunes': ['Cerrado'], 'martes': ['Cerrado']}",,"['Un lugar estupendo para comer comida casera a un precio muy asequible. Los camareros encantadores. Es un lugar que te hace desconectar de los pintxos típicos de…Más', 'Muy recomendable. Restaurante de los de toda la vida, con comida casera, buen producto y precio asequible. La camarera fue un encanto. Volveré y pediré otra vez el rabo de…Más', 'Local de dos plantas, barra de bar en la planta baja y restaurante en la primera. Es un espacio que lleva desde ""siempre"" en el Casco Viejo. Comida tradicional…Más']","['Iñakiren taberna. 2015. Barrenkalebarrena kalea 14 48005 BILBO Tel.944 15 09 54. Gure espezialitatea euskal sukaldea da produktu freskoekin eginda.', 'Ubicación y contacto. Barrenkale Barrena 14 48.005 Bilbao España. A 0...', 'Si buscas calidad y cantidad en el casco viejo de Bilbao Iñakiren taberna cumple los requisitos. Ubicado en las siete calles de Bilbao casco viejo tiene un...']"
La Ruda,,933,"4,1",10-20€,,"Unamuno Miguel Plaza, 2, Ibaiondo, 48006 Bilbo, Bizkaia","{'miércoles': ['9:00–23:30'], 'jueves': ['9:00–23:30'], 'viernes': ['9:00–1:30'], 'sábado': ['9:00–1:30'], 'domingo': ['9:00–23:30'], 'lunes': ['9:00–23:30'], 'martes': ['9:00–23:30']}",,"['La carta un poco escasa con comida básica y sencilla. Eso sí, rica y a buen precio. En Plaza Unamuno, en el Casco Viejo de Bilbao. El servicio no es del todo…Más', 'Menú del día a un precio muy competitivo con un tamaño de platos excepcional y calidad en las preparaciones. Los platos están bien acabados y están preparados…Más', 'Cosas bien y otras no tan bien.…Más']","['Egunon! Aquí tenéis nuestro menú para esta semana. ¡No dudéis en reservar mesa! 944 15 00 23 Plaza Miguel de Unamuno 2 Casco Viejo de Bilbao · #...', 'La Ruda destaca sobre todo por dos cosas: por su excelente barra de pintxos elaborados con mucho cariño y por estar llena de vida a cualquier hora del día.', 'Photo by La Ruda in La Ruda Bilbao. May be an image of pasta. RESTAURANTE LA RUDA Situado en plena plaza Unamuno a la...']"
Sorgínzulo,Pinchos de carne y pescado vascos regados con vinos de la región como el chacolí en un bar elegante y animado.,24000,"4,4",10-20€,,"Pl. Nueva, 12, Ibaiondo, 48005 Bilbao, Biscay","{'miércoles': ['9:30–22:30'], 'jueves': ['9:30–22:30'], 'viernes': ['9:30–22:30'], 'sábado': ['9:30–22:30'], 'domingo': ['10:00–15:30'], 'lunes': ['9:30–22:30'], 'martes': ['9:30–22:30']}",,"['La comida espectacular y barata. Los calamares no pueden faltar. Entre semana se puede disfrutar mucho mejor de la terraza ya que no está tan lleno como los fines de semana que es i…Más', 'Todo un gran acierto sin duda alguna el visitar este local típico de pinchos situado en La Plaza Nueva en Bilbao. Disponen de una gran variedad de pinchos con…Más', 'Este lugar es de visita obligatoria si estás por el casco viejo de Bilbao. En esta oportunidad probamos la carrilleras y están muy buenas, recomendada. Está ……Más']","['Ubicación y contacto. Plaza Nueva 12 48005 Bilbao España. A 0...', 'Los mejores pintxos de Bilbao · Consulta aquí nuestra carta · y · Prueba nuestra VISITA VIRTUAL.', 'Concurso #tortilla de Bizkaia 2024 y muchos +!. Prueba nuestros calamares ! Plaza Nueva y Santutxu #Bilbao. Plaza Nueva 12 Bilbao Spain 48005.']"
Bar Restaurante Baste,,938,"4,3",1-10€,,"Muñoz Maria Kalea, 6, Ibaiondo, 48005 Bilbo, Bizkaia","{'miércoles': ['9:00–24:00'], 'jueves': ['9:00–24:00'], 'viernes': ['9:00–24:00'], 'sábado': ['9:00–24:00'], 'domingo': ['9:00–24:00'], 'lunes': ['Cerrado'], 'martes': ['9:00–24:00']}",,"['Un espacio donde comer bien. El lugar es muy recogido y si te molesta la gente cerca puedes encontrarte algo apretado. Aún así muy recomendable.…Más', 'Bar de toda la vida para ir a potear y disfrutar de su pintxo estrella los mejillones rellenos.…Más', 'excelente restaurante en el casco antiguo de bilbao. comida excelente y deliciosa, servicio muy atento y un lugar agradable y confortable. Usted tiene pintxos ……Más']","['91 opiniones#382 de 986 restaurantes en Bilbao€€ - €€€BarEspañolaPub. María ... Atmósfera: 4. BASTE Bilbao - Fotos Número de Teléfono y Restaurante Opiniones -...', 'Baste Restaurante · Página · Bar de tapas y restaurante · +34 944 15 08 55 · Calificación · 46 39 opiniones · Publicación fijada.', 'Gran restaurante con una gran oferta en bebidas. Los deliciosos platos que servimos y nuestras bebidas te convencerán enseguida. Saborea por ejemplo una taza de...']"
Saibigain,Jamón de bellota y menú diario de cocina tradicional vasca en casa de comidas de 1952 con salón de vidrieras.,824,"4,1",€,,,"{'miércoles': ['12:00–16:00', '19:00–24:00'], 'jueves': ['12:00–16:00', '19:00–24:00'], 'viernes': ['12:00–16:00', '19:00–24:00'], 'sábado': ['12:00–16:00', '19:00–2:00'], 'domingo': ['12:00–16:00'], 'lunes': ['Cerrado'], 'martes': ['Cerrado']}",,"['El mejor bar del casco viejo que he probado (aseguro que han sido muchos). De todos ellos, este ha sido el que nos ha ofrecido más variedad y el que tenía más sabor casero en los…Más', 'El Trato del personal es excelente.\nLa comida es 100%100 casera y esta riquísima ,se nota que esta elavorada con…Más', 'El mejor bar del casco viejo que he visitado. He visto unos cuantos. Ambiente agradable. Tapas de calidad. Buen servicio.…Más']","['Un restaurante de los de siempre de los de toda la vida en el Casco Viejo de Bilbao. Cocina tradicional vasca desde 1952. Para comer bien.', 'El restaurante Restaurante Saibigain está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 4; Servicio: 4; Calidad/precio: 4...', 'Pese a ser un grupo de 45 personas todo ha sido inmejorable y la calidad de la comida de 10. Los pimientos rellenos son el plato estrella.']"
