title,description,n_reviews,stars_avg,price_range,facilities,street,opening_hours,phone_number,featured_reviews,extra_content
Restaurante Deustoarrak,Cafetería y restaurante con piano sofá corrido y muebles vintage que sirve pintxos y menú de recetas vascas.,19000,"4,1",10-20€,Tiene terraza· Tiene comedor privado· Sirve buenos cócteles,"Avenida de, Madariaga Etorbidea, 9, Deusto, 48014 Bilbo, Bizkaia","{'viernes': ['9:00–1:00'], 'sábado': ['11:00–1:00'], 'domingo': ['11:00–18:00'], 'lunes': ['9:00–23:00'], 'martes': ['9:00–23:00'], 'miércoles': ['9:00–23:00'], 'jueves': ['9:00–23:00', 'Confirmado por esta empresa hace 2 semanas']}",,"['sorprendente menú del día a un precio muy económico para ser fin de semana, en bilbao ya no encuentra muchos lugares para comer un menú el sábado por 15,50€. ……Más', 'Comida muy rica, el bacalao estaba buenísimo. Nos hicieron esperar 45 minutos para atendernos, porque la encargada o dueña no la daba la gana, atendía a la…Más', 'Un lugar muy agradable para cualquier momento,tienen una buena cocina para todos los gustos.…Más']","['Hospitalidad buen servicio y buena cocina tradicional así definimos nuestro restaurante en Bilbao. Restaurante Deustoarrak desde 1986 ofreciendo la mejor...', 'El restaurante Deustoarrak está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 4; Servicio: 3.5; Calidad/precio: 3.5...', 'La esencia es una cocina tradicional con toques modernos. Bilbao cocinado a la menorquina. Recetas y platos tradicionales de la Isla en un rincón de Bilbao...']"
Bar Restaurante Jacinta Deusto,,113,"4,4",1-10€,Tiene terraza· Tiene Wi-Fi· Sillas altas disponibles,"Blas de Otero Kalea, 39, Deusto, 48014 Bilbo, Bizkaia","{'viernes': ['6:00–23:00'], 'sábado': ['6:00–23:00'], 'domingo': ['Cerrado'], 'lunes': ['6:00–22:00'], 'martes': ['6:00–22:00'], 'miércoles': ['6:00–22:00'], 'jueves': ['6:00–22:00']}",659 33 20 53,"['Sitio perfecto para un desayuno con delicioso. Estuvimos de visita por la ciudad y todos los días desayunamos en este Bar. El camarero (disculpa, no recuerdo tu…Más', 'La verdad que la atención muy buena pero la comida sin más. No muy elaborada, ni mucha cantidad pero estaba buena, lo mejor la atención. El local bien el…Más', 'Un buen sitio para desayunar y barato.\nEl camarero es muy majo y cercano.\nVariedad de tortillas y sándwich…Más']","['Bar Jacinta Deusto · Puedes reservar ya tus manitas !!! No te quedes sin ellas Tel: 946129330 · Haz tu reserva!! Calle Blas de Otero 39 #barjacinta · Haz...', 'Si te vas a pasar por el Bar Jacinta ten por seguro que podrás disfrutar de unos pintxos deliciosos además de una bebida fresca y una buena copa de vino.', '16 ene 2024 — Jacinta taberna n.º 411 entre los restaurantes de Bilbao: 112 opiniones y 33 fotos detalladas. Localízalo en el mapa y llama para reservar...']"
Taberna de Deusto,,924,"4,1",10-20€,Tiene terraza· Sirve cenas,"Madariaga Etorbidea, nº5, Deusto, 48014 Bilbo, Bizkaia","{'viernes': ['9:00–0:30'], 'sábado': ['11:00–0:30'], 'domingo': ['11:00–23:30'], 'lunes': ['9:00–23:00'], 'martes': ['9:00–23:00'], 'miércoles': ['9:00–23:00'], 'jueves': ['9:00–23:00']}",944 07 48 18,"['Buena comida y calidad. Nos atendieron muy bien muy simpáticos. Tiene tanto me menú como raciones y bocatas. Merece mucho la pena. Cuenta con salón interior, barr…Más', 'Actualizo la reseña:\nFuimos a cenar mi marido y yo alas 9.45.…Más', 'No tengo más que buenas palabras para esta Taberna / restaurante. Todo muy bueno y el precio correcto . La atención inmejorable para la cantidad de clientes del momento.…Más']","['TABERNA DE DEUSTO. Para comer hoy Viernes 1 de marzo del 2024. Avenida Madariaga 5 Bilbao – 944 074 818. **Informe a nuestro personal si tiene alguna...', 'TABERNA DE DEUSTO. Para comer hoy Domingo 25 de Febrero del 2024. Avenida Madariaga 5 Bilbao – 944 074 818. **Informe a nuestro personal si tiene alguna...', 'La Taberna De Deusto Bilbao. 114 Me gusta · 198 personas han estado aquí. En Deusto: el puente la plaza de San Pedro la Universidad el tigre...']"
Bar H2O,,709,"4,1",1-10€,Tiene terraza· Sirve buenos cócteles· Se sirve comida en el bar,"Agirre Lehendakariaren Etorb., 17, Deusto, 48014 Bilbo, Bizkaia","{'viernes': ['6:00–1:00'], 'sábado': ['6:00–1:00'], 'domingo': ['6:00–24:00'], 'lunes': ['6:00–24:00'], 'martes': ['6:00–24:00'], 'miércoles': ['6:00–24:00'], 'jueves': ['6:00–1:00']}",944 48 32 56,"['Ojalá todo el mundo pudiese experimentar la sensación de ir al H2O una madrugada después de fiesta y pedir la iconica tortilla de birutas en su vida. El personal es súper agradabl…Más', 'Muy buen sitio para comer, buena cantidad, buen servicio y buen ambiente,. Atención fantástica y los camareros formidables, de verdad lo recomiendo, para repetir siempre que se vaya ahí!…Más', 'Buen bar con amplia carta de bocadillos y sandwiches a precios razonables. Chocolate con churros y batidos naturales A partir de las 18:00 ofertas es sándwich y pintxos Terraza con 6 mesas']","['Hamburguesería H2O · Página · Tienda de café · +34 944 47 97 75 · hamburgueseriah2obilbao.es · Aún sin calificación 0 opiniones.', 'La carta actualizada de H2O Taberna pub y bar. Precios y opiniones de los clientes sobre sus platos.', 'Especialidad: Exquisitas hamburguesas platos combinados sándwiches raciones etc. de gran calidad. Contacto. Avenida Lehendakari Aguirre 17 Bilbao.']"
Cafetería Bidarte,,381,"4,2",1-10€,Tiene terraza· Ideal para ver deportes· Tiene Wi-Fi,"Plaza Julio Lazurtegui 6 (esquina, Agirre Lehendakariaren Etorb., 61, 48014 Bilbao, Biscay","{'viernes': ['9:00–23:00'], 'sábado': ['10:00–23:00'], 'domingo': ['10:00–22:00'], 'lunes': ['9:00–22:00'], 'martes': ['9:00–22:00'], 'miércoles': ['Cerrado'], 'jueves': ['9:00–22:00', 'Confirmado por teléfono hace 5 semanas']}",944 02 13 43,"['Ha sido todo un descubrimiento, hemos comido en domingo por 17 € el menú y muy, muy bien con buena cocina. Muy recomendable…Más', 'Atención impecable, siempre con actitud, comida deliciosa, y asequible, pinxtos cada día mejor, en pocas palabras el mejor para compartir en familia y amigos…Más', 'Un lugar muy calido, excelente atencion, muy rica su comida y sus pinchos las camareras muy amables y serviciales.…Más']","['Si te gusta la comida casera tradicional Cafetería Bidarte es tu lugar de encuentro. Ofrecen una gran variedad de platos no se dejan nada: ensaladas pescados...', 'Cafetería Bidarte Bilbao Spain. 109 likes. Desayunos Menú del día Hamburguesas Bocatas Raciones y más.', 'Cafetería especializada en comida casera tradicional en Deusto a sólo 12 minutos a pie del paseo de la ría. La cafetería Bidarte es ideal para disfrutar de...']"
Bar Sport,,85,"4,4",,Ideal para ver deportes,"Blas de Otero Kalea, 28, Deusto, 48014 Bilbo, Bizkaia","{'viernes': ['7:00–2:00'], 'sábado': ['11:00–2:00'], 'domingo': ['11:00–17:00'], 'lunes': ['Cerrado'], 'martes': ['7:00–23:00'], 'miércoles': ['7:00–23:00'], 'jueves': ['7:00–23:00']}",946 42 19 47,"['Siempre lleno, fuimos a por los clásicos y no decepcionan. Buenísimo el pincho de erizo, el txangurro al horno exquisito, con mucha carne. Buen foie caliente.…Más', 'Un buen sitio tener en cuenta en deusto con buenos aperitivos, pintxos riquísimos y lo mejor del wisky.', 'Espectacular ahira con el cambio de gerencia. Inmejorable trato, y los mejores pinchos de Deusto. Tiene éxito porque lo dan todo para que la estancia sea agradable. Si pasas por Deusto ha…Más']","['Bar Sport · Blas de Otero 28bajo 48014 Bilbao España · Página web · Mejora este perfil.', 'Consigue las mejores ofertas para Bar Sport en Bilbao y conoce la nota y posición en el ranking de GastroRanking.', 'Bar Sport: Las mejores hamburguesas de Deusto! - 18 opiniones y 60 fotos de viajeros y ofertas fantásticas para Bilbao España en Tripadvisor.']"
Oktoberfest Deusto,,90,"4,1",€,Tiene terraza,"Sancho de Azpeitia Kalea, 3, Deusto, 48014 Bilbo, Bizkaia","{'viernes': ['18:00–1:30'], 'sábado': ['13:00–1:30'], 'domingo': ['13:00–1:30'], 'lunes': ['18:00–1:30'], 'martes': ['18:00–1:30'], 'miércoles': ['18:00–1:30'], 'jueves': ['18:00–1:30']}",944 47 22 83,"['Un servicio maravilloso, hospitalario a la vez que respetuoso. Ha sido un placer venir aquí a cenar, espero poder volver algún día. A los dueños del bar/restaurante, felicitaros por vuestro …Más', 'Una de las mejoras noches y cenas de nuestras vidas. Comida y sobre todo ambientes inmejorable. Repetiría una y mil veces. El encargado el mejor. IGOR CRACK.…Más', 'El interior siempre oscuro y bastante sucio .\nUn zurito, en Junio de 2023 me cobraron a 1,70.…Más']","['Del 25 de octubre al 3 de Noviembre DEUSTO BIZIRIK rinde homenaje y toma las riendas del folklore Alemán sus cervezas y su gastronomía un evento de tirón...', '9 oct 2023 — ... Deusto Bilbao vuelve a acoger esta tradicional fiesta del mes de octubre esta vez en la Plaza de Toros de Vista Alegre. Esta fiesta se...', 'Abierto laborables de 13:00 a 1:00 madrugada y festivos y vísperas de 13:00 a 2:00. ZONA DE BARES DEUSTO.']"
UME restaurante&bar,,117,"4,6",,,"Blas de Otero Kalea, 45, Deusto, 48014 Bilbo, Bizkaia",{},946 54 96 31,"['Estaba todo riquísimo, pero lo mejor el pescado, la lubina estaba increíble. El servicio eficiente, sin esperas y muy amables. Totalmente recomendable , volveremos…Más', 'Espectacular cena con platos japoneses y vascos, sorprendentes y variados. Cenamos Foie gras casero, sashimi de salmonete, de chicharro y de vieiras (los tres…Más', 'Estuvimos en la cena mensual japonesa el último sábado de octubre, fue espectacular, gran calidad, comida exquisita y un disfrute muy recomendable. El servicio fenomenal, u…Más']","['Ven a Ume Restaurante especializado en la cocina vasca con influencia oriental estamos en Deusto Bilbao ... Somos UME restaurante & bar. Nuestra especialidad...', 'Ubicación y contacto. Blas De Otero Kalea 45 48014 Bilbao España. A...', '24 sept 2021 — Ume Bilbao · Dirección Blas de Otero 45 Deusto · Teléfono 946 549 631 · Web umerestaurante.com · Precios Foie casero: 20 €. Sashimi de...']"
Rock & Grill Bilbao,,25,"4,7",1-10€,Tiene terraza,"Agirre Lehendakariaren Etorb lehendakari, aguirre, 13, 48014 Bilbao, Biscay","{'viernes': ['8:00–24:00'], 'sábado': ['8:00–24:00'], 'domingo': ['8:00–24:00'], 'lunes': ['8:00–22:00'], 'martes': ['8:00–22:00'], 'miércoles': ['8:00–22:00'], 'jueves': ['8:00–22:00']}",688 87 77 37,"['Me ha sorprendido lo original del pizza-pote y ha sido todo un acierto , porque la pizza 🍕 , estaba buenísima!!!!!.Me verán más jueves , q es el día q lo hacen…Más', 'majisimo!! uno de nosotros tres era vegano y nos hizo un sándwich de verduras!! que estaba exquisitoooo. muy muy amable, cien por cien recomendado!! todo buenísimo y l…Más', 'Comida 10, servicio excelente, muy buenos precios y nos ha sorprendido positivamente el pizzapote de los jueves (te regalan una porción de pizza con la consumición!). Lo recomiendo …Más']","['18 ene 2024 — All info on Rock & Grill Bilbao in Bilbao - Call to book a table. View the menu check prices find on the map see photos and ratings.', '8 ene 2022 — Iturribide lleva décadas siendo el centro de peregrinación de los devotos del rock y el heavy metal en Bilbao. ... Grill le ha honrado con una...']"
Bar El Canal,,202,"4,3",1-10€,Tiene terraza· Ideal para ver deportes· Tiene Wi-Fi,"Eraso Jeneralaren Kalea, 4, Deusto, 48014 Bilbo, Bizkaia","{'viernes': ['6:00–21:30'], 'sábado': ['8:00–15:30'], 'domingo': ['9:00–15:30'], 'lunes': ['6:00–21:30'], 'martes': ['6:00–21:30'], 'miércoles': ['6:00–21:30'], 'jueves': ['6:00–21:30']}",944 76 12 20,"['Bar situado en el barrio bilbaíno de Deusto cerca de la iglesia de San Felicísimo, tiene tres mesas en el exterior a las cual protege el toldo de la lluvia, dos…Más', 'Todos muy amables. Muy buen trato. El café está bien y tienen una amplia opción de pintxos. También se puede hacer encargos de pasteles con muchos tipos de sabores a elegir.…Más', 'Siempre que acudo a esta zona de Bilbao procuro ir a este local. Me encanta desayunar allí por la variedad de pinchos que tiene y todos tienen buena presencia y…Más']","['28 ene 2024 — Un gran número de los comensales de este bar dice que aquí tienen unos generosos pintxos unas sorprendentes empanadas y un atrayente laing.', 'La carta actualizada de Bar El Canal. Precios y opiniones de los clientes sobre sus platos.', 'Hola ¡Bienvenido a tu nuevo sitio web! Este es tu sitio tranquilo para disfrutar ese momento regenerador. Trato fa000iar del personal ambiente agradable.']"
