title,description,n_reviews,stars_avg,price_range,facilities,street,opening_hours,phone_number,featured_reviews,extra_content
Bar Restaurante Bilbao,,507,"3,9",10-20€,,"Errekalde-Larraskitu Errepidea, 2, Errekalde, 48002 Bilbo, Bizkaia","{'miércoles': ['8:30–23:00'], 'jueves': ['8:30–23:00'], 'viernes': ['10:30–24:00'], 'sábado': ['10:30–24:00'], 'domingo': ['10:30–23:00'], 'lunes': ['8:30–23:00'], 'martes': ['8:30–23:00']}",,"['El zurito más pequeño de Bilbao, a 1,50 eso sí, vergonzoso. El camarero muy borde alardeando de su experiencia de 30 años de servicio. Las cañas caras y todo espuma, una estafa…Más', 'He ido varias veces tanto a comer como a cenar. La verdad que no puedo estar más encantada en general. El chuletón siempre de 10…Más', 'No he probado la comida\nEl camarero de barra un poco borde a la hora de hacer el pedido en el bar.…Más']",[]
Bar Restaurante ARRAIZPE,,234,"4,5",10-20€,,"Errekalde-Larraskitu Errepidea, 10, Errekalde, 48002 Bilbo, Bizkaia","{'miércoles': ['8:00–22:30'], 'jueves': ['8:00–22:30'], 'viernes': ['8:00–23:00'], 'sábado': ['9:00–19:00'], 'domingo': ['Cerrado'], 'lunes': ['8:00–22:30'], 'martes': ['8:00–22:30']}",,"['Una joya de las de siempre, en el barrio de Rekalde. Antes de su cercana jubilación, hemos tenido el placer de degustar este pequeño pero acogedor local donde…Más', 'Un bar de barrio de toda la vida con comida casera,excelente servicio y muy buen precio.…Más', 'Maite te quiero...espectacular...alex un fenomeno y Iratxe una maquina....de lo mejorcito de bilbao']","['Ubicación y contacto. Carretera ERREKALDE-LARRASKITU 10 BAJO 48002 Bilbao España.', 'Restaurante Arraizpe: Come como Dios. - 6 opiniones y 4 fotos de viajeros y ofertas fantásticas para Bilbao España en Tripadvisor.', 'Restaurante Arraizpe en Bilbao. Carretera ERREKALDE-LARRASKITU 10 Bilbao · 944 22 16 35.']"
La Encina,,80,"4,6",10-20€,,"Errekalde-Larraskitu Errepidea, 12, bajo A, Errekalde, 48002 Bilbo, Bizkaia",{},,"['Cafe bueno y pinchos buenos .. precio justo . Merece la pena pasar a disfrutar el desayuno ó tomar algo…Más', 'Comida familiar menú de fin de semana 15 euros. 4 primeros, 5 segundos, postre, pan, vino gaseosa. Recomendable…Más', 'Atencion y buen servicio se come bien, almenos el par de veces que hemos ido, satisfechos y contentos.…Más']","['- Restaurante de barrio con una carta muy amplia - Nuestros platos de la cocina con productos regionales son especialmente conocidos por su frescura y sabor. En...', 'Bar la Encina · Página · Bar de tapas y restaurante · +34 946 02 12 71 · Todavía sin calificar 2 opiniones.', '- Restaurante de barrio con una carta muy amplia - Nuestros platos de la cocina con productos regionales son especialmente conocidos por su frescura y sabor. En...']"
Cafe-bar Tobogán,,903,"4,4",1-10€,,"Errekalde Plaza, 4, Errekalde, 48002 Bilbo, Bizkaia","{'miércoles': ['Cerrado'], 'jueves': ['10:00–23:00'], 'viernes': ['10:00–23:00'], 'sábado': ['10:00–23:00'], 'domingo': ['10:00–23:00'], 'lunes': ['10:00–23:00'], 'martes': ['10:00–23:00']}",,"['Primera vez en el bar y un gusto.\nNos atendió un hombre llamado Fernando.…Más', 'Lugar espectacular para tomarte un cafelillo, un pintxo goxo goxo o una buena cerveza. Lo recomiendo sin dudar, de mis sitios favoritos de Bilbo. Los camareros muy majos y rápidos…Más', 'Tenía ganas de probar la tortilla de este establecimiento porque ganó un campeonato de pintxo hace poco.…Más']","['Café-bar Tobogán Bilbao. 785 Me gusta · 49 personas estuvieron aquí. Pintxos y tapas Raciones variadas Cervecistas Café e infusiones sostenibles.', 'Encuentra el café bar El Tobogán en Rekalde un lugar de encuentro donde tomar un café o una caña o el vermú y comer buenos pintxos.', '1084 Followers 196 Following 211 Posts - See Instagram photos and videos from Café-bar Tobogán @cafebartobogan']"
Calabuch Tavern,,613,"4,0",1-10€,,"Errekalde Plaza, 1, Errekalde, 48002 Bilbo, Bizkaia","{'miércoles': ['8:00–23:00'], 'jueves': ['8:00–23:00'], 'viernes': ['8:00–24:00'], 'sábado': ['9:30–24:00'], 'domingo': ['9:30–23:00'], 'lunes': ['8:00–23:00'], 'martes': ['8:00–23:00']}",688 66 79 25,"['Buena y variada barra de pintxos a buen precio. La atención es bastante buena aunque mejorable. Dispone de una amplia terraza exterior. Suele estar concurrido, pero vale la pena …Más', 'Restaurante/cafetería espectacular. Buen trato al cliente. Buena comida y de calidad. Unos pinchos espectaculares. Volveré seguro…Más', 'Hace bastantes años que conozco este bar y me encanta; limpieza, atención, buen ambiente y una barra enorme de pinchos exquisitos que desde la mañana hasta la…Más']","['Calabuch · Página · Bar · +34 688 66 79 25 · Publicación fijada.', '20 feb 2024 — Sus invitados pueden tomar unos singulares patatas unos tiernos pintxos y un casero laing en esta cafetería. Pide su sorprendente café.', 'Consigue las mejores ofertas para Calabuch Tavern en Bilbao y conoce la nota y posición en el ranking de GastroRanking.']"
Bar Plaza,,64,"4,4",1-10€,Ideal para ver deportes,"Gordóniz Kalea, 54, Errekalde, 48002 Bilbo, Bizkaia","{'miércoles': ['8:00–21:30'], 'jueves': ['8:00–21:30'], 'viernes': ['8:00–22:00'], 'sábado': ['8:00–22:30'], 'domingo': ['8:00–22:30'], 'lunes': ['8:00–21:30'], 'martes': ['8:00–21:30']}",,"['Llevo bastante tiempo llendo a este BAR y la verdad que es un sitio perfecto para tomar algo. Ambiente familiar, pintxos buenísimos y muy bien de precio. Lo…Más', 'Realmente los pintxos muy buenos, el local está bien ubicado pero no voy solamente por la actitud de la camarera habitual. He recibido malas caras, he visto que…Más', 'Que hamburguesas mas ricas, de las mejores que he comido!!! con pan del bueno. Y la atencion al cliente de 10, el jefe,que es el camarero un encanto, una…Más']","['Disfruta de la mejor selección de pintxos en Bilbao junto a una cremosa cerveza bien tirada en uno de los lugares de encuentro de referencia en la capital.', '56 opinionesN.º 24 de 69 bares y pubs en Bilbao€BarCaféEspañola. Plaza Euskadi 3 48001 Bilbao España +34 944 36 01 71 Página web Añadir horariosMejora este...', 'Buen bar de pintxos  tortillas y demás con una buena terraza y un camarero amable y eficiente un auténtico Crack de los que se agradece encontrar. Muy...']"
Restaurante La Alhóndiga,,691,"4,0",10-20€,,"Salazar Jeneralaren Kalea, 3, Errekalde, 48012 Bilbo, Bizkaia","{'miércoles': ['9:00–22:00'], 'jueves': ['9:00–22:00'], 'viernes': ['9:00–22:00'], 'sábado': ['9:00–22:00'], 'domingo': ['9:00–22:00'], 'lunes': ['Cerrado'], 'martes': ['9:00–22:00']}",,"['Comimos el menú de fin de semana. Hay que abonar preserva de 5 € por comensal, que descuentan en el total final.…Más', 'La comida de 10, para ser las 15 horas , había de todo.15 primeros, 15 seguros y 25 postres .Servicio lento. Había mucha gente. Entendible por ser estas fechas.…Más', 'La comida sabrosa pero poco detalle con los clientes. Hemos ido 11 personas y no pudieron ir dos, estando el local a tope y nuestra mesa sin sitio nos han…Más']","['La Alhondiga General Salazar 3 48012 Bilbao. Correo electrónico: info@laalhondiga.es. Por favor confirme las reservas llamando al telefono: 944105764...', 'El restaurante Restaurante La Alhóndiga está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 3; Servicio: 3; Calidad/precio: 3...', 'RESTAURANTE YANDIOLA. Yandiola te invita a disfrutar de una experiencia gastronómica y de ocio única en Euskadi. VER CARTA. Como el edificio de la Alhóndiga...']"
Errekaldeko Batzokia - Batzoki de Rekalde,,11000,"4,3",€,,"Salazar Jeneralaren Kalea, 13, Errekalde, 48012 Bilbo, Bizkaia","{'miércoles': ['8:00–22:30'], 'jueves': ['8:00–22:30'], 'viernes': ['8:00–24:00'], 'sábado': ['10:00–24:00'], 'domingo': ['10:00–22:30'], 'lunes': ['8:00–22:30'], 'martes': ['8:00–22:30']}",,"['El menú de fin de semana estaba rico. La ensalada de carpacho de Angus un poco sosa, pero lo demás muy rico. La atención por parte de los camareros/as una pasada, muy agradables. El t…Más', 'Fuimos de paso a comer unos pintxos y la comida estuvo bastante bien. El espacio entre la barra y las mesas es un tanto ajustado, por lo que se tapona el acceso…Más', 'Hicimos cena de Navidad y quedamos muy satisfechos no solo con la calidad de la comida y cantidad, sino también con el precio. Las croquetas estaban muy bien,…Más']","['En nuestro restaurante puedes encontrar lo más destacado de la cocina tradicional vasca sin dejar de lado nuevas aportaciones en forma de platos más creativos.', '1.-PLATO A elegir · Ensalada de bacalao con pimientos asados · Rissoto de confit de pato con setas y hongos · Entremeses variados · Sopa de pescado.', 'Tiene buena cocina y a precios asequibles!! Buenos vinos Txakoli cervezas y buen servício. Un lugar cómodo para comer . Ideal para comidas fa000iares o de...']"
Bar Meet Time,,23,"4,7",,,"Gordóniz Kalea, 34, Errekalde, 48012 Bilbo, Bizkaia","{'miércoles': ['9:00–23:00'], 'jueves': ['9:00–23:00'], 'viernes': ['9:00–24:00'], 'sábado': ['10:00–24:00'], 'domingo': ['11:00–23:00'], 'lunes': ['Cerrado'], 'martes': ['9:00–23:00']}",946 85 46 99,"['Un bar muy bueno!! la pareja que lo lleva son un encanto, buenos profesionales. Las rabas y los mejillones muy ricos. Ya nos habían comentado que estaba muy bien y fuimos a conocerlo, cum…Más', 'Amplio local visitado por lugareños.Gran cristalera a través de la cual se ve el bar desde el exterior.Baños muy pequeños y con pestillo roto.Buen trato.…Más', 'Sitio céntrico, pero alejado de las aglomeraciones, abierto todo el día, trato familiar, los dueños encantadores, unas rabas ricas y diferentes y unas…Más']","['Bar español | Meet Time | bilbao · Un excelente bar con una carta muy amplia · Organizamos tu evento privado.', 'Bar | Meet Time | bilbao - Este es el lugar ideal para tomar algo refrescante en un ambiente agradable. Ponle fin a un duro día de trabajo en el bar Meet...', '26 feb 2024 — Bar Meet Time n.º 202 entre los pubs y bares de Bilbao: 23 opiniones y 18 fotos detalladas. Localízalo en el mapa y llama para reservar...']"
Bar Lauko,,202,"4,2",€,,"Gordóniz Kalea, 93, Errekalde, 48002 Bilbo, Bizkaia","{'miércoles': ['9:00–24:00'], 'jueves': ['9:00–24:00'], 'viernes': ['9:00–24:00'], 'sábado': ['9:00–24:00'], 'domingo': ['9:00–24:00'], 'lunes': ['9:00–24:00'], 'martes': ['Cerrado']}",,"['Buenas Rabas, muy ricas☺️…Más', 'Muy buena atención y servicio', 'Es un bar normal pero tiene una terraza con mesas y sillas y está al lado de un campo de futbito y un parque, genial para estar un rato con los niños, mascotas o familia y el dueño muy ma…Más']","['Explora Bilbao con RUTAS bilbaoDendak. Descubre con nuestras rutas guiadas a través del comercio un Bilbao que no conocías.', '27 dic 2023 — Lauko taberna n.º 346 entre los pubs y bares de Bilbao: 198 opiniones y 4 fotos detalladas. Localízalo en el mapa y llama para reservar...', 'BAR LAUKO en BILBAO Gordóniz 93 -  48002 BILBAO.']"
