title,description,n_reviews,stars_avg,price_range,extra_features,street,opening_hours,phone_number,reviews,extra_content
El plaza de indautxu,,394,"3,9",10-20€,Tiene terraza· Sillas altas disponibles,"Santimami Zumarkalea, 46, Abando, 48010 Bilbo, Bizkaia","{'viernes': ['6:00–0:30'], 'sábado': ['6:00–0:30'], 'domingo': ['6:00–0:30'], 'lunes': ['Cerrado'], 'martes': ['6:00–0:30'], 'miércoles': ['6:00–0:30'], 'jueves': ['6:00–0:30']}",946 00 03 41,"['Un lugar donde comer un buen menú del día con un servicio muy agradable,lo recomiendo si estás por la zona,no te defraudará.…Más', 'En agosto fuimos un par de veces a comer el menú del día. Me parece una muy buena opción en la zona: menú variado, de buena calidad y a un precio razonable, 14 ……Más', 'He ido en fin de semana y me han atendido y servido super rapido. Sòlo 16 euros el menù de fin de semana! Y se come estupendo. Los garbanzos muy buenos👍 El ……Más']","['El restaurante El Plaza de Indautxu está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 3.5; Servicio: 3.5; Calidad/precio:...', 'Precio? En consonancia con el entorno con menú diario extenso y variado a 14€ bebida solo agua y vino sencillo/gaseosa. Instalaciones? Sendos pequeños...', 'La plaza Indautxu es una plaza céntrica ubicada en la alameda de Gregorio de la Revilla de Bilbao. Plaza Indautxu. Plaza Indautxu con la iglesia de Nuestra...']"
Bar Mugi,Restaurante de gestión fa000iar que ofrece tapas y bocadillos en un comedor acogedor.,13000,"4,4",10-20€,Tiene terraza· Tiene comedor privado· Sillas altas disponibles,"Poza Lizentziatuaren Kalea, 55, Abando, 48013 Bilbo, Bizkaia","{'viernes': ['11:00–16:00', '19:00–24:00'], 'sábado': ['Cerrado'], 'domingo': ['11:00–16:00', '19:00–24:00'], 'lunes': ['11:00–16:00', '19:00–24:00'], 'martes': ['11:00–16:00', '19:00–24:00'], 'miércoles': ['11:00–16:00', '19:00–24:00'], 'jueves': ['11:00–16:00', '19:00–24:00']}",944 41 30 16,"['@ mugí bilbao\nMenudo espectáculo de pinchos y atención nos atiende laura…Más', 'Nos gustó muchísimo , lo encontramos de chiripa dando un paseo buscando donde comer y fuimos en 3 ocasiones , los pinchos riquísimos y la pluma a la brasa…Más', 'ricos, variados punos, y la mejor calidad en la atención del propietario. eso es muy valorado, ya que vengo del sector y es tan complicado encontrar gente que presta atención al público.']","['Ubicación y contacto. Licenciado poza 55 48013 48013 Bilbao España. Indautxu.', 'Follow. Message. Mugi Bilbao. Trabajar la calidad es nuestro leitmotiv Working quality is our leitmotiv. 82 posts; 2115 followers; 281 following...', '- El Mugi Bilbao - Bar Alameda Bilbao - Restaurante Gredos - Joyería Suarez - Tiendas Laucirica - Gerardo - Bilbao - Veritas Boutique Bilbao - Denis 2000']"
Bodega Indautxu,,646,"4,3",1-10€,Tiene terraza· Se sirve comida en el bar,"Gregorio de la Revilla Zumarkalea, 18, Abando, 48009 Bilbo, Bizkaia","{'viernes': ['9:00–24:00'], 'sábado': ['11:00–15:30', '19:00–24:00'], 'domingo': ['12:00–15:30', '19:00–23:00'], 'lunes': ['9:00–23:00'], 'martes': ['9:00–23:00'], 'miércoles': ['9:00–23:00'], 'jueves': ['9:00–23:00']}",944 42 28 23,"['Una Bodeguilla de toda la vida.\nNo me canso de visitarla cada vez que vengo a Bilbao.\nPersonal muy amable y muy buenos bocadillos y menú.…Más', 'Bocadillos, medios bocadillos y pintxos preparados al instante, a tu gusto (tú eliges qué lleva y qué no) con bonito - anchoas de primera calidad. Un clásico.…Más', 'Ambiente de Bilbao, pintxos bocatas y menú diario de calidad y precio bueno teniendo en cuenta la zona en donde está.']","['Bodega Indautxu Bilbao: Consulta 10 opiniones sobre Bodega Indautxu con puntuación 35 de 5 y clasificado en Tripadvisor N.°760 de 1.414 restaurantes en...', 'La Bodega Indautxu es una emblemática taberna a la antigua usanza de Bilbao de toda la vida. Allí podrás degustar magníficos pintxos bocadillos variados.', 'Horarios de apertura · lunes: 09:00 - 23:00 h. · martes: 09:00 - 23:00 h. · miércoles: 09:00 - 23:00 h. · jueves: 09:00 - 23:00 h. · viernes: 09:00 - 23:00 h.']"
Patio Bilbao,,301,"4,1",10-20€,Tiene terraza· Tiene Wi-Fi· Sillas altas disponibles,"Kalea Manuel Allende, 21, Abando, 48010 Bilbo, Bizkaia","{'viernes': ['11:00–12:00'], 'sábado': ['0:00–12:00'], 'domingo': ['0:00–17:00'], 'lunes': ['11:00–23:00'], 'martes': ['11:00–23:00'], 'miércoles': ['11:00–23:00'], 'jueves': ['11:00–23:00']}",946 07 52 76,"['(translated by google) we went to lunch on Saturday to bilbao to get out of these routines of communal restrictions we have today, with access only to ……Más', 'Me ha encantado el establecimiento , muy buen personal , muy amables con comida deliciosa. Viva imagen de calidad precio . Volveremos ❤️…Más', 'Hemos ido un sábado a comer el menú de 14,90€, en principio puede parecer que vas a salir con hambre ya que las raciones no son muy grandes, pero en absoluto.…Más']","['El restaurante Patio Bilbao está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 3.5; Servicio: 4; Calidad/precio: 4...', 'Buena barra de pintxos cuidada selección de vinos y cervezas en un local con encanto y en el que además disfrutarás de una carta original y sabrosa.', 'Buena barra de pintxos selección de vinos y cervezas tablas picoteo y una carta original y sabrosa además de menú del día y plato express...']"
Bar Joserra,,587,"4,3",1-10€,Tiene terraza· Se sirve comida en el bar,"Indautxu Kalea, 4, Abando, 48011 Bilbo, Bizkaia","{'viernes': ['10:30–16:00', '17:30–24:00'], 'sábado': ['12:00–16:00', '18:00–24:00'], 'domingo': ['Cerrado'], 'lunes': ['10:30–16:00', '17:30–23:00'], 'martes': ['10:30–16:00', '17:30–23:00'], 'miércoles': ['10:30–16:00', '17:30–23:00'], 'jueves': ['10:30–16:00', '17:30–23:00']}",944 42 22 35,"['Un bar con unos pintxos de tortilla buenísimos, el de queso de cabra con cebolla caramelizada esta brutal. Es una zona con ambiente. Es genial para ir a tomar algo y comer un p…Más', 'Para mi el mejor bar de Bilbao lo conozco desde hace 30 años y aunque ya no están por desgracia Goyo, ya fallecido y Juan está de baja sigue ofreciendo un gran ……Más', 'Pintxos bueníssimos y muy sabrosos, gildas muy buenas…Más']","['Joserra Bilbao: Consulta 47 opiniones sobre Joserra con puntuación 45 de 5 y clasificado en Tripadvisor N.°349 de 1.413 restaurantes en Bilbao.', 'Bar Joserra · Página · Bar de vinos · +34 944 42 22 35 · boletus.com/bar-joserra · Calificación · 48 18 opiniones.', '22 jun 2015 — Bilbao es una ciudad con una cultura de bar impresionante; la gente se echa a la calle para potear entre amigos colegas de trabajo e...']"
Txirene | 100% Bilbao,,552,"4,4",,Sirve buenos cócteles,"Poza Lizentziatuaren Kalea, 26, Abando, 48009 Bilbo, Bizkaia","{'viernes': ['9:00–24:00'], 'sábado': ['11:30–24:00'], 'domingo': ['11:30–17:00'], 'lunes': ['9:00–23:00'], 'martes': ['9:00–23:00'], 'miércoles': ['9:00–23:00'], 'jueves': ['9:00–23:00']}",944 55 46 88,"['Nos han recomendado este restaurante y ha sido de 10. Hemos comido de entrante una ensalada de tomate con bonito, muy abundante la cantidad de bonito y muy bien…Más', 'Hacía tiempo que no salía taan contenta de un restaurante. La comida deliciosa y una buena relación calidad precio. Salimos a 55 euros comiendo mucho (ojo, las…Más', 'El ambiente es de 10,la comida es espectacular desde los entrantes hasta el postre y el trato por parte de los trabajadores ha sido excelente,muy recomendable, volveré sin du…Más']","['Nos sentimos orgullosos de ser de Bilbao y queremos transmitir ese amor por el botxo desde la gastronomía.', 'El restaurante Txirene 100% está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 4.5; Servicio: 4.5; Calidad/precio: 4.5...', 'MENÚ BILBAO · Ensalada de tomate de caserío con ventresca y vinagreta de anchoas · Dúo de fritos: croquetas de cecina y gambón · Txangurro al horno · Txuleta de...']"
Restaurante Egaña Bar,,500,"4,2",€,Tiene terraza· Ideal para ver deportes· Tiene Wi-Fi,"Egaña Kalea, 14, Abando, 48010 Bilbo, Bizkaia",,685 92 95 84,"['Nuestra experiencia ha sido en un pedido a domicilio por Ju...Ea... y todo lamentable, se equivocan y echan la culpa a lo que sea, el chorizo de lochas para…Más', 'Un poco caras las cervezas. Pero bonita vista de la ría de Bilbao.', 'Cobrarme 4 euros por un pintxo de txipiron o una cazuelita con 4 txampis pequeños me parece excesivo. No sé cuál es, ya que está todo está metido con pintxo. Exagerado, igual como …Más']","['Un Bar - Restaurante mítico de Indautxu referente en cocina tradicional y ambiente fa000iar celebra su 30 aniversario: en 1993 abrieron los Hermanos Hernando...', 'Bar Egaña Bilbao: Consulta 46 opiniones sobre Bar Egaña con puntuación 4 de 5 y clasificado en Tripadvisor N.°388 de 1.414 restaurantes en Bilbao.', 'Bar Egaña Bilbao: Consulta 46 opiniones sobre Bar Egaña con puntuación 4 de 5 y clasificado en Tripadvisor N.°387 de 1.170 restaurantes en Bilbao.']"
Ikatza Bar Restaurante,,365,"4,3",10-20€,Tiene terraza· Sirve buenos cócteles· Ideal para ver deportes,"Simón Bolívar Kalea, 25, Abando, 48010 Bilbo, Bizkaia","{'viernes': ['7:00–23:00'], 'sábado': ['10:00–23:00'], 'domingo': ['Cerrado'], 'lunes': ['7:00–22:00'], 'martes': ['7:00–22:00'], 'miércoles': ['7:00–22:00'], 'jueves': ['7:00–22:00']}",946 41 43 88,"['Es un restaurante acogedor, tiene pocas mesas así que hay que reservar con antelación, el servicio es atento y rápido, pero resaltaría la excelente calidad de…Más', 'Celebramos un cumpleaños unas 50 personas. Reservada zona del fondo, con música y vídeos a nuestro aire. Pintxos muy bien presentados. La barra muy concurrida para 2 camare…Más', 'Un agradable bar en la calle Simón Bolivar de Bilbao. Discreto pero con buenos bocadillos y tapas. Ambiente tranquilo y familiar. Me gustó y me sorprendió gratamente.…Más']","['Ubicación y contacto. Simon Bolivar Kalea 25 48013 Bilbao España. Indautxu.', 'Ikatza. 324 Me gusta. \U000f178b. 324 seguidores. Ikatza Bar Restaurante está pensado como un lugar diferente donde el buen gusto y la gastronomía. \U000f1676. Seguir. \U000f07dd.', ""Ikatza Bar restaurante un lugar para hacer historia Simón Bolívar25Bilbao. www.ikatza.com. 2023's profile picture. 2023. tabla de jamon's profile picture.""]"
Zaka Restaurante,Restaurante a la última decorado con un estilo retro que sirve pinchos de salmón curado y carrillera de cerdo vino y cócteles.,26000,"4,3",20-30€,Tiene terraza· Sirve buenos cócteles· Ideal para ver deportes,"Simón Bolívar Kalea, 11, Abando, 48011 Bilbo, Bizkaia","{'viernes': ['7:30–1:00'], 'sábado': ['11:00–1:00'], 'domingo': ['11:00–24:00'], 'lunes': ['7:30–24:00'], 'martes': ['7:30–24:00'], 'miércoles': ['7:30–24:00'], 'jueves': ['7:30–0:30']}",944 01 45 61,"['Sitio magnífico en Bilbao con un menú extraordinario.\nCocina de calidad y materia prima excelente.…Más', 'El lugar en sí es agradable, aunque los turnos de comida obligan a comer de forma apresurada.…Más', 'Muy buena experiencia , todo súper bien estudiando y equilibrado ! El arroz riquísimo , la carne es carnaza rica y la tarta de queso es elite ! Muchas gracias volveremos ♥️']","['Zaka cocina de aquí y de siempre. Carta variada compuesta de raciones para compartir carnes pescados platos típicos en Indautxu Bilbao.', 'Tienen un menú del día variado muy rico y a muy bien precio. Las cantidades son generosas y el sitio muy amplio y bonito.', 'Zaka Restaurante · Page · Tapas Bar & Restaurant · +34 944 01 45 61 · zakarestaurante.com · Rating · 4.3 182 Reviews.']"
Cork,,410,"4,6",10-20€,Tiene terraza· No se aceptan reservas· Sillas altas disponibles,"Poza Lizentziatuaren Kalea, 45, Abando, 48011 Bilbo, Bizkaia","{'viernes': ['18:00–22:30'], 'sábado': ['18:00–22:30'], 'domingo': ['Cerrado'], 'lunes': ['12:00–15:30', '18:00–22:30'], 'martes': ['12:00–15:30', '18:00–22:30'], 'miércoles': ['12:00–15:30', '18:00–22:30'], 'jueves': ['12:00–15:30', '18:00–22:30', 'Actualizado por teléfono hace 4 semanas']}",944 42 50 05,"['Contrariados con el desagradable e incomprensible trato, después de una larguísima espera por nuestro pedido un simple plato de ""revuelto de hongos"", nos traen…Más', 'Vinos espectaculares,atención inmejorable y los pinchos ricos ricos.Local para no perdérselo', 'Excelentes pinchos y gran variedad de vinos. Disfrutamos muchísimo de probar vinos de pequeños productores y zonas variadas. Totalmente recomendable si te gusta probar…Más']","['Sobre nosotros… Situada en el número 45 de Licenciado Poza en Bilbao CORK es el WINE bar de referencia de la Villa para los amantes del vino.', 'El restaurante Cork está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 4.5; Servicio: 5; Calidad/precio: 4.5; Atmósfera: 4.5...', 'Calle Licenciado Poza 45 Bilbao Spain 48011. 189 posts; 3268 followers; 325 following. Photo by CORK de vinos por Bilbao on June 07 2023. Photo by CORK...']"
