title,description,n_reviews,stars_avg,price_range,extra_features,street,opening_hours,phone_number,reviews,extra_content
Moyúa Café Resturante,,215,"4,3",1-10€,,"Plaza Moyúa, Salida Metro Elkano Lonja perteneciente a, Gran Vía de Don Diego López de Haro, 39, 48009 Bilbao, Biscay","{'miércoles': ['8:00–22:30'], 'jueves': ['8:00–22:30'], 'viernes': ['8:00–23:00'], 'sábado': ['8:00–23:00'], 'domingo': ['9:00–22:00'], 'lunes': ['8:00–22:30'], 'martes': ['8:00–22:30']}",,"['Nada mas llegar, preguntamos por crepes, no habia luego por tortitas y por ultimo por gofres dijo que si y casualidad teniamos una amiga recien operada la cual…Más', 'El tiempo se congela en este centrico local. Una vez traspasas sus puertas, afuera queda el ruido del trafico y el bullicio de los transeuntes.…Más', 'Bonito lugar, bien iluminado y el clima controlado, afuera hacia mucho frío y dentro se sentía muy calentito sin sentir brisotones.…Más']",[]
Elíptica,Pinchos paella y menús diarios con platos típicos del País Vasco en un lujoso restaurante de estilo desenfadado.,471,"4,5",10-20€,,"Alameda de Recalde, 33, Abando, 48009 Bilbao, Biscay","{'miércoles': ['7:00–22:00'], 'jueves': ['7:00–22:00'], 'viernes': ['7:00–22:00'], 'sábado': ['7:00–22:00'], 'domingo': ['Cerrado'], 'lunes': ['7:00–22:00'], 'martes': ['7:00–22:00']}",944 24 41 93,"['Desayuné un cortado con un bizcocho de zanahoria naranja nuez y canela increíble . La camarera super amable y eficiente .con el bar a tope, estando ella sola en la barra, atendía con…Más', 'Muy buen café , pitxos muy ricos y variados ( tienen unos bizcochos caseros buenísimos ) . Trato muy amable y educado , son muy majos todos los que te atienden…Más', 'Local tranquilo y perfecto para comer un menú de día o fin de semana apetecible y sin dejarte un riñón por el precio en Bilbao centro.…Más']","['Moderno y muy confortable este pequeño restaurante muy cerca de la Plaza Moyua de Bilbao la atención de los camareros tanto en la barra como en el comedor...', 'Cocina tradicional con raíces vascas. Ambiente agradable y cercano en el mismo corazón de Bilbao. \U000f1676. Seguir. \U000f07dd. Publicaciones.', 'Comida casera tipica vasca muy buena y a buen precio. Sin duda de los mejores restaurantes donde hemos comido en nuestra visita a Bilbao.']"
"Bar-Restaurante ""La Roca""",,11000,"4,2",20-30€,,"Archivo Histórico Provincial, Ercilla Kalea, 1, Abando, 48009 Bilbao, Biscay","{'miércoles': ['7:30–22:00'], 'jueves': ['7:30–22:00'], 'viernes': ['7:30–24:00'], 'sábado': ['12:00–24:00'], 'domingo': ['Cerrado'], 'lunes': ['7:30–22:00'], 'martes': ['7:30–22:00']}",,"['No suelo poner reseñas, pero esta vez, lo merece ¡Y mucho! Viajamos con perro y fué uno más des del primer momento. Nos dejaron entrar con él en el interior y…Más', 'Un lugar magnífico de principio a fin, buscábamos un sitio para comer y poder estar con nuestro perro, no sólo nos han permitido comer allí, sino que además nos…Más', 'Un restaurante maravilloso. Lo encontramos por casualidad y a pesar de ser fechas navideñas, nos hicieron un hueco y nos atendieron con mucho gusto. La comida…Más']","['La Roca ama Bilbao La Roca es parte de Bizkaia y Euskadi tierra de gran riqueza protegida por un mar y unos montes que nos ofrecen lo mejor de ellos en...', '169 opiniones#175 de 987 restaurantes en Bilbao€€ - €€€BarMediterráneaEuropea ... La Roca. ¿Cómo está valorado el restaurante La Roca? ... Restaurantes en Bilbao:...', 'La Roca es restaurante barra de pinchos lugar de picoteo bar de copas cafetería es todo eso y más porque nuestra cocina está abierta todo el día.']"
La Gavilla Bilbao,Restaurante funcional y acogedor que ofrece platos de cocina vasca con productos locales brunch vino y un bar.,11000,"4,5",30-40€,,"Colón de Larreátegui K., N.32, Abando, 48009 Bilbo, Bizkaia","{'miércoles': ['11:00–23:00'], 'jueves': ['11:00–23:00'], 'viernes': ['11:00–24:00'], 'sábado': ['12:00–24:00'], 'domingo': ['Cerrado'], 'lunes': ['Cerrado'], 'martes': ['11:00–23:00']}",944 25 68 38,"['Veamos, sólo comí cuatro pinchos que estaban en la barra y la verdad es que nada destacables, el de pimiento con bacalao creo que me podrían haber dado la…Más', 'La comida está rica y es de calidad.…Más', 'Experiencia decepcionante y no por la comida. Pedimos diferentes platos, el primero de ellos era una ensaladilla rusa, llevándonos la “sorpresa” de encontrarnos…Más']","['El restaurante La Gavilla está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 4.5; Servicio: 4.5; Calidad/precio: 4.5...', 'Next. La Gavilla - Bilbao -. Horario. Lunes: Cerrado. Martes: 11:00 - 23:00 ... c/ Colón de Larreátegui 32 48009 Bilbao. Este sitio web utiliza cookies para...', 'La Gavilla Bilbao · Página · Bar · +34 944 25 68 38 · lagavillabilbao.com.']"
La Kedada Bilbao,Bar restaurante de un hotel moderno y de paredes blancas que sirve pinchos españoles repostería y cócteles.,54,"4,0",,,,"{'miércoles': ['19:00–23:00'], 'jueves': ['19:00–23:00'], 'viernes': ['19:00–23:00'], 'sábado': ['19:00–23:00'], 'domingo': ['19:00–23:00'], 'lunes': ['19:00–23:00'], 'martes': ['19:00–23:00']}",,"['La comida esta rica lo que pasa que algunos platos no se corresponden con la carta(pone focaccia pollo bacon queso y tiene aceitunas negras x ejemplo,pedí…Más', 'Buen ambiente y buen local, almorzamos y desayunamos, pero es flojito como cafetería de un hotel de 3* y caro para el producto que ofrece.…Más', '“\nEl otro día fuimos a comer un grupo de amigos , un total de 30 personas, y nos…Más']","['El restaurante Bar Restaurante La Kedada está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 4.5; Servicio: 4.5; Calidad/...', 'La Kedada Bilbao Bilbao. 387 Me gusta · 34 personas han estado aquí. LAKEDADA  cocina de vanguardia con una ubicación privilegiada en el centro de...', '523 Followers 209 Following 576 Posts - See Instagram photos and videos from La Kedada Bilbao @lakedada']"
Bar Restaurante Udala Bilbao,,74,"4,4",10-20€,,"Errekakoetxe Kalea, 2, Abando, 48010 Bilbo, Bizkaia","{'miércoles': ['8:00–17:00'], 'jueves': ['8:00–17:00'], 'viernes': ['8:00–17:00'], 'sábado': ['8:00–17:00'], 'domingo': ['Cerrado'], 'lunes': ['8:00–17:00'], 'martes': ['8:00–17:00']}",944 21 01 82,"['Comida casera de verdad! el sitio perfecto para un menú del día...si estás por ahí y quieres comer comida tradicional a buen precio... es el sitio! Sin florituras pero rico.…Más', 'Miguel y Loli es increíble lo bien q se come y lo bien q tratan y a un precio impresionante…Más', 'Si quieren disfrutar de comida calidad casera, vayan, no se van a arrepentir. Y precio económico 27€ total para 2 personas (2 platos, postre, pan, bebida y cortaditos). Y el servicio…Más']","['El restaurante Bar Restaurante Udala está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 4.5; Servicio: 4.5; Calidad/precio:...', 'Consigue las mejores ofertas para Bar Restaurante Udala en Bilbao y conoce la nota y posición en el ranking de GastroRanking.', 'El restaurante tiene dos plantas sirven desayunos sandwiches y menu del día. Puedes comer en mesa o en la barra. La calidad de los platos es buena. Raciones...']"
Restaurante La Olla,Restaurante acogedor con terraza a pie de calle especializado en pinchos jamón ibérico y vinos españoles.,2000,"4,1",1-20€,,,"{'miércoles': ['7:00–23:00'], 'jueves': ['7:00–23:00'], 'viernes': ['7:00–24:00'], 'sábado': ['9:00–24:00'], 'domingo': ['11:00–23:00'], 'lunes': ['7:00–23:00'], 'martes': ['7:00–23:00']}",,"['No tuvieron,el mejor día,toda la comida fría,y cuando,nos volvían a calentar,seguía,igual,o, parecido. Pedimos chuleta,y nos sacaron, entrecot. Se que es un…Más', 'Hemos estado súper bien, atención de parte de Agustín genial. Todos Los platos estaba muy rico. La txistorra estaba que te mueres! Lo que más me ha sorprendido es como tienen e…Más', 'Gran lugar! Comida deliciosa, muy buen servicio, lugar muy lindo (me tocó adentro y está muy bien)… recomendaciones de comida: plato de jamones, zamburinas,…Más']","['En el bar La Olla les ofrecemos productos de primerísima calidad que pueden degustar con nuestros pintxos. Disponemos de una barra espectacular que...', 'En el restaurante La Olla de la Plaza Nueva les ofrecemos productos de primerísima calidad que pueden degustar con nuestros pintxos.', 'El restaurante La olla está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 4; Servicio: 3.5; Calidad/precio: 4; Atmósfera: 4...']"
Bar Plaza Gran Vía,,709,"4,0",1-10€,,"Gran Vía de Don Diego López de Haro, 81, Abando, 48011 Bilbo, Bizkaia","{'miércoles': ['7:30–22:30'], 'jueves': ['7:30–22:30'], 'viernes': ['7:30–23:30'], 'sábado': ['8:30–23:30'], 'domingo': ['9:00–22:30'], 'lunes': ['7:30–22:30'], 'martes': ['7:30–22:30']}",,"['He pedido un mosto y un pintxo de tortilla, el camarero me ha dicho que solo las bebidas y no me ha servido el pintxo de tortilla.…Más', 'Estábamos en el hotel de al lado.Fantastico sitio para desayunar y tomar algo.Sitio tranquilo.\nAtención muy buena .…Más', 'Posiblemente el peor pintxo de tortilla de Bilbao. No solo por el tamaño, que va menguando hasta parecer un bocadito de tortilla, sino especialmente por el…Más']","['63 opiniones#406 de 987 restaurantes en Bilbao€€ - €€€BarCaféEspañola. Gran Via 81 48011 Bilbao España +34 944 39 25 18 Página web Añadir horariosMejora este...', 'Disfruta de la mejor selección de pintxos en Bilbao junto a una cremosa cerveza bien tirada en uno de los lugares de encuentro de referencia en la capital.', 'Especialidad: Una de las mejores selecciones de pintxos de Bilbao en un espacio dominado por la madera y la piedra ofreciendo un lugar de encuentro donde...']"
Restaurante Lasa,Menú diario de cocina vasca y barra de pintxos en un restaurante con terraza y comedor de techo acristalado.,996,"3,9",10-20€,,,"{'miércoles': ['9:00–17:00'], 'jueves': ['9:00–23:00'], 'viernes': ['9:00–24:00'], 'sábado': ['10:00–24:00'], 'domingo': ['Cerrado'], 'lunes': ['9:00–17:00'], 'martes': ['9:00–17:00']}",,"['Me pareció un gran restaurante. Estaba llenó y nos atendieron a 7 personas en menos de una hora. La comida estaba muy buena y la cantidad de los platos era decente. El servicio fue muy a…Más', 'Comida muy buena y el servicio estupendo. Muy agradables. Especialmente una camarera de León. Muy agradecidos.', 'A primera vista es un clásico restaurante de carta en el centro de cualquier ciudad turística, pero su menú del día a 16euros sorprende. En mi caso fué Alubias-…Más']","['El Restaurante Lasa dispone de un Menú diario de cocina vasca y barra de pintxos en un restaurante con terraza y comedor de techo acristalado.', 'El restaurante Restaurante Lasa está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 3.5; Servicio: 3.5; Calidad/precio: 3.5...', 'Tu restaurante en el centro de Bilbao desde 2.000. Restaurante Lasa ofrece menú diario de cocina vasca barra de pintxos menú especial cocina para llevar… en...']"
Abadía,,540,"4,0",10-20€,,"Iparraguirre Kalea, 4, Abando, 48009 Bilbo, Bizkaia",{},,"['Agradable terraza para comer justo enfrente del Museo Guggenheim. Chopitos espectaculares y atencion personal de diez. Y ademas......buen precio. ¿Se puede pedir mas??? Volver!!!!!', 'Me pareció un bar de pinchos increíble! Atienden super bien y rápido. Tienen mucha variedad y están buenísimos. Lo recomiendo sin duda alguna, saldrás encantad@. La tortil…Más', 'Nos encontramos este Bar buscando donde picar algo, cerca del Museo. Los pintxos se eligen en la barra y luego lo que quieras pedir lo puedes pedir en la mesa.…Más']","['El restaurante Gastrobar Abadia está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 4.5; Servicio: 3.5; Calidad/precio: 4...', 'Gastrobar al puro estilo Bilbaino de Pintxos de primera y comida casera con las mejores vistas al Guggenheim y Puppy. El Abadía es un bar especializado en...', ""Gastrobar al puro estilo Bilbaino de Pintxos Con las mejores vistas al Guggenheim y Puppy ⏰Abierto todos los días. Menu Navidad's profile picture.""]"
