title,description,n_reviews,stars_avg,price_range,extra_features,street,opening_hours,phone_number,reviews,extra_content
La Campa de los Ingleses · Taberna San Mamés,,867,"4,3",1-10€,Tiene terraza,"Estadio de San Mamés, P.º Rafael Moreno ""Pitxitxi"", s/n, Basurto-Zorroza, 48013 Bilbao, Biscay","{'sábado': ['10:00–20:00'], 'domingo': ['10:00–20:00'], 'lunes': ['9:30–20:00'], 'martes': ['9:30–20:00'], 'miércoles': ['9:30–20:00'], 'jueves': ['9:30–22:00'], 'viernes': ['9:30–22:00']}",944 39 28 08,"['La idea de restaurante es espectacular con las vistas al estadio de San mames. Pero el restaurante está descuidado, poco personal para la.afluencia,sillas con manchas, pintxos de baja cal…Más', 'Increíblemente mal. Cena de empresa, 50y tantas personas. En un principio el local estaba helado porque no podían cerrar la puerta, que finalmente cerraron y…Más', 'Llenar la barriga mientras disfruta de las mejores vistas de La Catedral, no tiene precio... 🍽️😋…Más']","['Si hay un lugar para los amantes del fútbol y del Athletic ese es el bar restaurante de San Mamés Bilbao La campa de los Ingleses.', 'Tanto el servicio como el menú de fin de semana es perfecto para una comida en fa000ia y con vistas a San Mamés no se puede pedir más Algo a mejorar en...', 'Local moderno que combina la tradición de los bares típicos de Bilbao junto con toque vanguardista de calidad que San Mames se merece. Dispone de menús diarios...']"
Geuria! San Mamés Sports Bar,,93,"3,9",1-10€,Sirve buenos cócteles· Hay actuaciones en directo· Se sirve comida en el bar,"San Mamés 14 Rafael Moreno Pitxitxi, s/n, 48013 Bilbao, Biscay","{'sábado': ['18:00–1:00'], 'domingo': ['12:30–17:30'], 'lunes': ['Cerrado'], 'martes': ['Cerrado'], 'miércoles': ['Cerrado'], 'jueves': ['18:00–24:00'], 'viernes': ['18:00–24:00']}",944 39 51 38,"['Qué gozada de espacio, iluminación, pantallas, se vive un ambientazo BRUTAL!!!\nVer el fútbol ⚽️ así es INCREÍBLE…Más', 'Un día de máxima afluencia, solo había 2 camareras.\nNo había bocadillos solo patatas fritas y poco más.…Más', 'Tiene muy buena pinta, para ver los partidos. El otro día en el derbi imposible entrar. Mucha cola. Pero volveré']","['Es un punto de unión entre la cultura y el deporte de nuestra tierra. Geuria! está en el corazón de Bilbao en pleno estadio San Mamés. Recién hecha. y de 10...', 'Geuria San Mamés Bilbao Spain. 247 likes · 1 talking about this. El nuevo sports bar de San Mamés ⚪. Espacio que combina la experiencia Athletic con...', '8 oct 2022 — Geuria Sports Bar Bilbao: Consulta opiniones sobre Geuria Sports Bar con puntuación 1 de 5 y clasificado en Tripadvisor N.°1.032 de 1.413...']"
Bar La catedral,,346,"4,2",1-10€,Tiene terraza· Sirve buenos cócteles· Tiene juegos de mesa,"Calle De, Urkixo Zumarkalea, 102, Basurtu-Zorrotza, 48013 Bizkaia","{'viernes': ['8:00–1:00'], 'sábado': ['9:00–1:00'], 'domingo': ['Cerrado'], 'lunes': ['8:00–23:00'], 'martes': ['8:00–23:00'], 'miércoles': ['8:00–23:00'], 'jueves': ['8:00–23:00']}",944 39 61 14,"['Pedir un café con leche con doble carga de café y que te lo pongan largo de agua. A pesar de haber recordado cómo lo he pedido y la camarera asegurandome de que…Más', 'Pedimos en este establecimiento un bocata de carne y jamón que estaba regular, más bien algo seco. También pedimos una hamburguesa que no estaba mal aunque la…Más', 'Una bar justo en frente del estadio San mames(la catedral).Hemos comido unos pintxos de tortilla maravilloso;poco hecho con muy buen sabor;el servicio es muy correcto y lo…Más']","['Con vistas al campo de fútbol de San Mamés y a pocos pasos de la Universidad de Ingenieros de Bilbao en nuestro bar restaurante encontrarás el mejor ambiente...', 'La Catedral. Bilbao Bizkaia/Vizcaya Alameda Urquijo 102. #hamburguesas #san ... Bar Restaurante La Catedral ofrece una cocina casera y de pinchos en un...', 'Catedral Bar. Información. Especialidad: Pinchos. Ofrecemos: Desayunos. Indispensable: Probar nuestro menú. Conocido por: Nuestra variedad de pinchos y...']"
Restaurante Txelus 2,,136,"4,0",10-20€,Tiene terraza· Ideal para ver deportes,"Juan Antonio Zunzunegui Etorb., 12b, Basurtu-Zorrotza, 48013 Bilbo, Bizkaia","{'sábado': ['11:00–24:00'], 'domingo': ['12:00–20:30'], 'lunes': ['8:00–19:00'], 'martes': ['8:00–19:00'], 'miércoles': ['8:00–19:00'], 'jueves': ['8:00–10:00'], 'viernes': ['8:00–10:00']}",944 42 47 49,"['Menú del día de 14,50€ de comida casera de calidad con 5 primeros, 5 segundos y varios postres caseros a elegir. Muy buen servicio. Muy recomendable…Más', 'Buenos y variados pintxos. Muy apetecibles.\nLa tortilla jugosa. Buen café.\nLocal amplio cerca de Termibus.', 'Menú del día súper rico, atención buenísima y lo mejor los postres caseros.']","['Es un restaurante pequeño cerca de San Mamés con comida tradicional muy bien hecha y con un servicio más allá de la excelencia. Es uno de mis restaurantes de...', 'En tres palabras: Honesto calidad y servicio. Contacto. Juan Antonio Zunzunegui 10 Bilbao. 944424749.', 'Qué le gusta a User de Txelus 2 Bar-restaurante: Es un restaurante pequeño cerca de San Mamés con comida tradicional muy bien hecha y con un servicio más allá...']"
Jantoki Berria,,355,"4,2",10-20€,Ideal para ver deportes· Hay menú infantil,"San Mames Zumarkalea, 47, bajo, Abando, 48010 Bilbo, Bizkaia",{},946 54 79 13,"['Menú perfecto (calidad/precio). El sabor de la comida y la cantidad muy bien. El servicio por parte de los camareros excelente, rápidos, atentos y educados.…Más', 'Local lleno. Servicio muy amable y ordenado. La cocina normal, lo que es para pedir un menú del día.…Más', 'Muy buena relación calidad/precio, buen servicio, sin esperas, pero recomendable reserva previa…Más']","['Ubicación y contacto. Alameda San Mames 47 48010 Bilbao España. Indautxu.', 'Daily menu menu for 14€ with bottle of wine. So tasty so fresh! Try mussels here and salad with mushrooms and cheese ; And fast!', 'Jantoki berria · Página · Restaurante europeo · +34 946 54 79 13 · jantoki-berria.negocio.site/?utm_source=gmb&utm_medium=referral.']"
Lau Bar Restaurante,,87,"4,9",10-20€,,"San Mames Zumarkalea, 23, Abando, 48010 Bilbo, Bizkaia","{'sábado': ['10:30–0:30'], 'domingo': ['10:30–16:30'], 'lunes': ['8:00–23:00'], 'martes': ['8:00–23:00'], 'miércoles': ['8:00–23:00'], 'jueves': ['8:00–23:30'], 'viernes': ['8:00–0:30']}",846 66 55 10,"['Sito donde puedes comer y beber bien. El personal de barra y comedor muy buenos.Para repetir en varias ocasiones…Más', 'Todo exquisito comida 10/10 ambiente agradable personal atento probamos variedad y está todo buenísimo sin duda un sitio para volver.…Más', 'Muy buen hallazgo, prácticamente en el centro de Bilbao, con un menú a unos muy asequibles 16 euros. Prácticamente una pequeña carta a precio de menú del día.…Más']","['Lau Bar. Bares-Restaurantes · Cómo llegar. Dirección. Alameda San Mamés 23 ... Descubre con nuestras rutas guiadas a través del comercio un Bilbao que no...', '16 ene 2024 — Buena ubicación. Terraza con servicio. Gran variedad de pinchos. Precio normal. Lo mejor de todo la atención por parte de todos los empleados.', 'Bar regentado por hermanos desde hace más de 25 años. Las rabas están riquísimas. Barra con unos pintxos que hace querer probarlos todos. Trato excelente.']"
Bar restaurante GABIÑA,,280,"4,6",10-20€,Tiene terraza· Ideal para ver deportes,"Poza Lizentziatuaren Kalea, 62, Basurtu-Zorrotza, 48013 Bilbo, Bizkaia",{},946 00 55 65,"['Excelente menú. Platos de cuchara como en casa. Servicio muy bueno…Más', 'Mejor sitio de Bilbao para comer. Excelente relación calidad precio... muy recomendable…Más', 'Alucinante los sabores de la comida. Venimos desde Canarias y sin duda nos vamos muy contentos…Más']","['El restaurante Cerveceria Gabiña ofrece comida para llevar? ... Calidad/precio: 3.5. CERVECERIA GABIÑA Bilbao - Fotos Número de Teléfono y Restaurante Opiniones...', 'Cervecería Gabiña Bilbao. 15 likes · 3 talking about this. Desayunos menú del día asador de pollos cervecería.', '12/01/2024: Bar de categoría en el barrio de Castaños. Buen producto y resaltar la atención de los camareros que te hacen sentir en casa. Destacar el buen humor...']"
Alirón,,551,"4,1",1-10€,Tiene terraza· No se aceptan reservas· Se sirve comida en el bar,"Luis Briñas K., 23, Basurtu-Zorrotza, 48013 Bilbo, Bizkaia","{'sábado': ['7:00–16:00'], 'domingo': ['9:00–16:00'], 'lunes': ['7:00–23:00'], 'martes': ['7:00–23:00'], 'miércoles': ['7:00–23:00'], 'jueves': ['7:00–23:00'], 'viernes': ['7:00–23:00']}",946 07 30 61,"['El pincho de tortilla el mejor que probé en Bilbao y San Sebastián, es de bonito normal el de jamón bueno, el de huevo y chorizo también estaba de locos, toda ……Más', 'Estaba buscando un local por esa zona y la verdad es que gustó bastante, están especializados en pintxos, tienen variedad en barra. Lo que destaca muy ……Más', 'Vine aqui para desayunar pronto a la mañana y es el mejor desayuno que puedo tener; un cafe con un bollo caliente, con un sabor increiblemente bueno. En cuanto…Más']","['Alirón es una expresión utilizada para manifestar de manera eufórica un objetivo conseguido especialmente en el terreno deportivo.', 'El grito de “Alirón” tiene su origen en la explotación de mineral de hierro en los montes de Triano. La buena ley metálica del mineral extraido era confirmada...', ""Es el grito de guerra de los bilbaínos el que más suena cuando el Athletic Club gana un título. Se dice que la palabra 'Alirón' proviene del inglés 'All...""]"
RESTAURANTE MARINELA,Pescado y marisco vascos como bacalao en salazón y vinos Rioja y Ribera en un restaurante con decoración de temática náutica.,15000,"4,2",10-20€,Tiene terraza· Sirve buenos cócteles· Hay menú infantil,"San Mames Zumarkalea, 43, Abando, 48010 Bilbo, Bizkaia","{'sábado': ['10:00–24:00'], 'domingo': ['8:00–23:00'], 'lunes': ['8:00–23:00'], 'martes': ['8:00–23:00'], 'miércoles': ['8:00–23:00'], 'jueves': ['8:00–23:00'], 'viernes': ['10:00–24:00']}",944 21 50 99,"['He ido en varias ocasiones y siempre opinamos lo mismo. La comida que no siendo nada especial, esta buena, pero sale fría o templada sobre todo platos de arroz,…Más', 'Menú de fin de semana noche por 20,7€ cada uno. Berenjena de txangurro, brocheta de ternera... Riquísimo todo uña gran atención. Recomendable!!!…Más', 'Sin duda uno de los mejores restaurantes en los que he estado. la comida es muy buena, buena calidad, buen precio y personal atento y muy agradable. Pedimos el ……Más']","['Ubicado en pleno centro de la villa de Bilbao en Restaurante Marinela podrás encontrar un menú para cada ocasión o se lo confeccionamos a su medida.', 'El restaurante MARINELA está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 3.5; Servicio: 3.5; Calidad/precio: 3.5...', 'Consigue las mejores ofertas para MARINELA en Bilbao y conoce la nota y posición en el ranking de GastroRanking.']"
Restaurante Bar Arrigorri,,158,"4,5",10-20€,Tiene terraza· Ideal para ver deportes,"Zorrotza Kastrexana Errepidea, 23, Basurtu-Zorrotza, 48013 Bilbo, Bizkaia","{'viernes': ['10:00–1:00'], 'sábado': ['10:00–1:00'], 'domingo': ['10:00–18:00'], 'lunes': ['10:00–23:00'], 'martes': ['10:00–23:00'], 'miércoles': ['10:00–23:00'], 'jueves': ['10:00–23:00']}",946 57 91 56,"['Un buen sitio donde comer un menú del día bien hecho y contundente con buen género.los camareros muy simpáticos. Comedor amplio y tranquilo y una buena terraza…Más', 'Agradable descubrimiento en este clasico bar-restaurante de Zorroza. De nueva gestion,100% comida y menu de tradicion de barrio, es decir chuleton, entrecot, ……Más', 'Fuimos un fin de semana a comer y muy buen menú a muy buen precio. El personal muy amable y atento. Raciones muy generosas.']","['Agradable descubrimiento en este clasico bar-restaurante de Zorroza. De nueva gestion100% comida y menu de tradicion de barrio es decir chuleton entrecot...', 'Restaurante Arrigorri en Bilbao. Carretera Zorroza-Kastrejana 23 Bilbao · 946 57 91 56. Las mejores Terrazas.', '1 ene 2024 — Agradable descubrimiento en este clasico bar-restaurante de Zorroza. De nueva gestion100% comida y menu de tradicion de barrio es decir...']"
