title,description,n_reviews,stars_avg,price_range,extra_features,street,opening_hours,phone_number,reviews,extra_content
Bilbo 82,,304,"4,4",1-10€,,"Arsuaga Kalea, 1, 48004 Bilbo, Bizkaia","{'miércoles': ['9:00–24:00'], 'jueves': ['9:00–24:00'], 'viernes': ['9:00–12:00'], 'sábado': ['9:00–13:00'], 'domingo': ['10:00–24:00'], 'lunes': ['9:00–24:00'], 'martes': ['9:00–24:00']}",,[],[]
New Luber,,255,"4,1",€,,"Arsuaga Kalea, 48004 Bilbo, Bizkaia","{'miércoles': ['9:00–0:30'], 'jueves': ['9:00–0:30'], 'viernes': ['9:00–2:30'], 'sábado': ['11:00–2:30'], 'domingo': ['11:00–23:30'], 'lunes': ['9:00–0:30'], 'martes': ['9:00–0:30']}",,"['Buen ambiente. Local agradable.…Más', 'Sitio excelente para compartir con amigos y crear nuevos.\nTrato excelente , buena relación, respeto al cliente.…Más', 'Solo fuimos a mediodía a tomar un aperitivo. Y esa no parece ser la hora para la que el local está pensado. El trato fue agradable y atento, el servicio rápido…Más']","['Luber Bilbao. 1021 Me gusta · 221 personas han estado aquí. Bar LUBER situado en ""La Zona"" de Santutxu diversión y sobre todo buenas CENAS.', 'Consigue las mejores ofertas para New Luber en Bilbao y conoce la nota y posición en el ranking de GastroRanking.', 'Luber Bilbao Spain. 1021 likes · 221 were here. Bar LUBER situado en ""La Zona"" de Santutxu diversión y sobre todo buenas CENAS.']"
Bar Arambarri Santutxu,,563,"4,4",1-20€,,"Arambarri Músico Kalea, 4, 48004 Bilbo, Bizkaia","{'miércoles': ['12:00–24:00'], 'jueves': ['12:00–24:00'], 'viernes': ['12:00–2:00'], 'sábado': ['11:00–2:00'], 'domingo': ['11:00–2:00'], 'lunes': ['12:00–24:00'], 'martes': ['12:00–24:00']}",,"['Segunda ocasión en Arambarri pero la primera en el local de Santutxu e igualmente recomendable!…Más', 'Estuve el otro día con una amiga y nos encantó todo.\nBuenísimos los nachos y las hamburguesas super ricas, la carne estaba deliciosa.…Más', 'No estado mucho tiene anbiente y los combinados no tienen nada que desperdiciar pues los camareros se lo trabajan mas que si fueran para ellos…Más']","['Tipos de cocina. Americana Española ; Comidas. Desayuno Comidas Cenas ; VENTAJAS. Reservas Servicio de mesa Capacidad.', 'En el corazón del barrio de Santutxu se encuentra Arambarri un bar de los de toda la vida perfecto para reunirte con tus amigos para disfrutar de...', 'Auténtico restaurante de comida americana con una carta que hace honor a la diversidad culinaria de Estados Unidos. Calidad y pasión por la buena cocina.']"
Snoopy Santutxu,,238,"4,5",€,,"Allende Particular Kalea, 15, 48004 Bilbo, Bizkaia","{'miércoles': ['9:30–15:30', '16:30–24:00'], 'jueves': ['9:30–15:30', '16:30–24:00'], 'viernes': ['9:30–15:30', '16:30–2:30'], 'sábado': ['9:30–2:30'], 'domingo': ['9:30–22:00'], 'lunes': ['9:30–15:30', '16:30–24:00'], 'martes': ['9:30–15:30', '16:30–24:00']}",,"['Un lugar ideal en Santutxu para tomar una buena copa espléndidamente servida, además de con buen asesoramiento del personal de barra. Además de tener unas raciones muy…Más', 'Muy buen sitio para tomar café o un vinito y picotear algo\nLo descubrí de casualidad estando de visitas POR SANTUTXU y la verdad q prometo…Más', 'Gran profesional detrás de la barra. Excelente variedad en Vermuts (Maset, Zarro,de Madrid, la variedad de los Padró y Co....etc) tanto preparados como no.…Más']","['Os presentamos una selección de vinos blancos internacionales para degustar en el Snoopy este verano saugvinion blanc de Chile Chardonnay de California y una...', 'Colaborador: Bar SNOOPY. 15 Allende Particular Kalea 48004 Bilbo Bizkaia. Teléfono: 647 12 22 59. Buscar: COLABORADORES.', 'Snoopy Santutxu · Page · Entreprise locale · +34 610 40 18 31 · Évaluation · 43 67 avis.']"
Taberna Muñoa,,152,"4,3",€,,"Cocherito de Bilbao Kalea, 9, 48004 Bilbo, Bizkaia","{'miércoles': ['11:00–24:00'], 'jueves': ['11:00–24:00'], 'viernes': ['11:00–24:00'], 'sábado': ['11:00–24:00'], 'domingo': ['11:00–24:00'], 'lunes': ['11:00–24:00'], 'martes': ['11:00–24:00']}",,"['De los mejores sitios calidad precio para llevar a la cuadrilla ,todo un descubrimiento', 'Buen menú en cantidad y calidad y a un precio razonable. Yo he tomado rabo guisado, muy bueno. La chuleta y el bacalao pil pil, también tenian una pinta buenísima. Buen sitio también…Más', 'Muy buena cocina y buena compañía.']","['27 feb 2024 — Taberna Muñoa n.º 1002 entre los pubs y bares de Bilbao: 144 opiniones y 1 foto detallada. Localízalo en el mapa y llama para reservar...', 'Pasa un buen rato de ocio en este bar ubicado en el barrio de SANTUTXU distrito de INDAUTXU. Puedes ponerte en contacto con este bar en el teléfono 944731566...', 'Consigue las mejores ofertas para Taberna Muñoa en Bilbao y conoce la nota y posición en el ranking de GastroRanking.']"
Retro Kafe,,507,"4,3",10-20€,,"Grupo Cooperativa, Union Begoñesa Etxetaldea, 101, 48004 Bilbo, Bizkaia","{'miércoles': ['10:00–24:00'], 'jueves': ['10:00–1:00'], 'viernes': ['10:00–2:00'], 'sábado': ['11:00–2:00'], 'domingo': ['11:00–24:00'], 'lunes': ['10:00–24:00'], 'martes': ['10:00–24:00']}",,"['Siempre es un acierto ir a Retro: para in cafelín, una cerveza de importación...…Más', 'Increíble la experiencia.\nNos acercamos porque tenía buena pinta, y acertamos a la primera.…Más', 'Hemos ido cuatro amigos y la atención ha sido muy buena. La camarera muy amable, han sacado los platos con bastante rapidez (tampoco estaba muy lleno el sitio),…Más']","['RetroKafe en Santutxu y Retuerto. Un espacio donde disfrutar del ambiente 70 80 90. Comida musica cervezas y copas. Quedadas retro y más.', 'Programación y agenda de Retro Kafé Santutxu uno de los puntos de interés y lugares recomendados para ver y visitar al viajar a Bilbao  Bizkaia.', 'Telefono: 94 412 04 54 · Photo by Retro Kafe on November 29 2021. · Photo by Retro Kafe on July 20 2023. · Photo by Retro Kafe in RetroKafe.']"
BAR FOREVER,,55,"4,3",,,"Iturriaga K., 96, 48004 Bilbo, Bizkaia","{'miércoles': ['17:00–0:30'], 'jueves': ['17:00–0:30'], 'viernes': ['17:00–2:30'], 'sábado': ['17:00–3:00'], 'domingo': ['12:00–22:00'], 'lunes': ['Cerrado'], 'martes': ['17:00–0:30']}",,"['Sitio de copas con buena 🎶 para pasar una buena noche y repetir.…Más', 'Fatal. Nos cobraron 8 euros por cada combinado y nos dieron alcohol de garrafón. Nos pusimos todos mal, vomitando. No pienso volver.…Más', 'En santutxu un buen sitio para echar unos bailes y tomarte jna copa…Más']","[""Bar Forever Bilbao Spain. 351 likes · 44 were here. Nuestros establecimientos BAR FOREVER Y BAR D'MARKO."", 'bar forever bilbao. Abrir TikTok. Videos. brunoyuni. 27. No falten bar forever iturriaga 96 santutxu bilbao no falten#trofeosgala#tiktokviral#foryou.', ""Bar Forever Bilbao Spain. 348 sukaan · 13 berbicara tentang ini · 42 pernah berada di sini. Nuestros establecimientos BAR FOREVER Y BAR D'MARKO.""]"
KARAMBA SANTUTXU,,60,"3,4",10-20€,,"Santutxu Kalea, 32, 48004 Bilbo, Bizkaia","{'miércoles': ['9:00–1:00'], 'jueves': ['9:00–1:00'], 'viernes': ['9:00–2:30'], 'sábado': ['9:00–2:30'], 'domingo': ['9:00–1:00'], 'lunes': ['9:00–1:00'], 'martes': ['9:00–1:00', 'Actualizado por esta empresa hace 9 semanas']}",,"['Local situado en santutxu, cenamos en la parte superior del local. Nos tomaron nota rápido y los primeros platos nos los sirvieron rápido. Para el precio que…Más', 'El local donde comes las hamburguesas…etc parece una lonja, si te agobias con facilidad no lo recomiendo, el tema de la calidad de la comida, está bien rico, en…Más', 'Desde luego no lo recomendaría a nadie .\nPedimos mesa en un local y nos cambiaron al de en frente . Pedimos unas…Más']","['Ubicado en Santutxu 32 Karamba es el destino perfecto para aquellos que buscan una experiencia culinaria única en un ambiente animado y acogedor. Este...', 'Karamba Santutxu · Santutxu 32 48004 Bilbao España · Página web · Mejorar este perfil.', '""Un lugar acogedor para disfrutar de deliciosas hamburguesas tapas raciones y copas Ubicado en Santutxu 32 Karamba es el destino perfecto para aquellos...']"
Bar Guremendi,,281,"4,2",1-10€,,"Calle Arsuaga Partikularra 2, 48004 Bilbao, Biscay","{'miércoles': ['10:30–1:30'], 'jueves': ['10:30–1:30'], 'viernes': ['11:30–2:30'], 'sábado': ['11:30–2:30'], 'domingo': ['10:30–1:30'], 'lunes': ['10:30–1:30'], 'martes': ['10:30–1:30']}",,"['Tienen bebidas a muy buen precio. Esta frecuentado sobre todo por cuarentones, pero te dan un vasito de plástico y te puedes tomar más bebidas fuera. Muy recomendado!', 'Buen tratoy buen café…Más', 'Muy bien para tomar un pintxo o un buen desayuno por.un precio más que aceptable']","['Consigue las mejores ofertas para Bar Gure Mendi en Bilbao y conoce la nota y posición en el ranking de GastroRanking.', '20 feb 2024 — Bar Guremendi n.º 304 entre los pubs y bares de Bilbao: 280 opiniones y 8 fotos detalladas. Localízalo en el mapa y llama para reservar...', 'Bar gure-mendi · Page · Lounge · +34 946 54 70 11 · Rating · 4.5 14 Reviews.']"
New Venezzia,,500,"4,2",10-20€,,"Aita Esteban Pernet Kalea, 3, 48004 Bilbo, Bizkaia","{'miércoles': ['12:30–23:30'], 'jueves': ['12:30–23:30'], 'viernes': ['12:30–24:00'], 'sábado': ['12:00–24:00'], 'domingo': ['12:00–23:30'], 'lunes': ['12:30–23:30'], 'martes': ['12:30–23:30', 'Actualizado por esta empresa hace 8 semanas']}",,"['Muy buena cena. Tanto las hamburguesas como los bocadillos muy buenos y muy ricos. Sabrosos. Con muy buen pan. Las patatas y las croquetas caseras. Numerosos platos a elegir…Más', 'Todo muy rico, lo recomiendo mucho y la camarera muy amable. Las patatas exquisitas , el alioli increíble, el pan de la hamburguesa muy rico. La carne a mi no me gustó pero a…Más', 'No creo que vuelva y no por la comida que, la verdad, estaba muy buena pero el servicio deja mucho que desear. Muy lento y poco detallista, hemos tenido un…Más']","['New Venezzia ofrece la mejor experiencia de comida y bebida a domicilio. Realiza tu pedido online o descarga nuestra app y disfruta de promociones online...', 'New Venezzia Bilbao: Consulta 19 opiniones sobre New Venezzia con puntuación 3 de 5 y clasificado en Tripadvisor N.°951 de 1.413 restaurantes en Bilbao.', 'Necesitas pedir algo de New Venezzia en Bilbao? Utiliza Glovo y recibirás tu pedido en casa de forma fácil y rápida. Pide online con Glovo ahora.']"
